# # lob backtest --touches: DOGEUSDT data\always-on\20260912T201737Z RTT=20000000нс assumed(В-37), сделка-отскок В-44 (вход за тик, стоп за тик внутрь, тейк 1:1, дедлайн 60000 мс), порог H3=118 лотов, касаний 835, бинлогов 2
profile_id,n_signals,n_submitted,n_filled,fill,n_busy,n_entry_timeout,n_stop,n_take,n_timeout,net_bps,net_fill_bps,net_fill_lo_bps,net_fill_point_bps,days,incomplete
все,835,538,518,0.962825,297,20,350,54,114,-8.295031,-5.152070,-7.728105,-5.152070,2,true
"возраст:[0,10m)",824,532,512,0.962406,292,20,346,53,113,-8.295126,-5.160516,-7.740774,-5.160516,2,true
"размер:[4,inf)",788,513,493,0.961014,275,20,332,53,108,-8.287477,-5.191520,-7.787280,-5.191520,2,true
"фронтран:[0.5,inf)",569,361,343,0.950139,208,18,232,40,71,-8.208961,-4.957172,-7.435758,-4.957172,2,true
круглость:1,104,62,61,0.983871,42,1,42,6,13,-8.254369,-4.841505,-7.262257,-4.841505,2,true
номер:1,804,527,507,0.962049,277,20,343,52,112,-8.300656,-5.240887,-7.861331,-5.240887,2,true
сторона:bid,409,259,247,0.953668,150,12,164,22,61,-8.393216,-5.081187,-7.621780,-5.081187,2,true
"фронтран:(0,0.5)",235,168,166,0.988095,67,2,110,13,43,-8.395236,-5.930252,-8.895378,-5.930252,2,true
круглость:0,729,475,456,0.960000,254,19,307,48,101,-8.299634,-5.198672,-7.798008,-5.198672,2,true
сторона:ask,426,279,271,0.971326,147,8,186,32,53,-8.205542,-5.219958,-7.829936,-5.219958,2,true
номер:2-3,31,11,11,1.000000,20,0,7,2,2,-8.035781,-2.851406,-4.277109,-2.851406,2,true
фронтран:0,31,9,9,1.000000,22,0,8,1,0,-9.727018,-2.823973,-4.235960,-2.823973,2,true
"возраст:[10m,1h)",11,6,6,1.000000,5,0,4,1,1,-8.286929,-4.520143,-6.780215,-4.520143,2,true
"размер:[1,2)",5,3,3,1.000000,2,0,2,0,1,-8.680359,-5.208215,-7.812323,-5.208215,2,true
"размер:[2,4)",38,20,20,1.000000,18,0,14,1,5,-8.385131,-4.413227,-6.619841,-4.413227,2,true
круглость:>=2,2,1,1,1.000000,1,0,1,0,0,-8.676609,-4.338305,-6.507457,-4.338305,1,true
