# # lob backtest --touches: LSKUSDT data\always-on\20260912T201737Z RTT=20000000нс assumed(В-37), сделка-отскок В-44 (вход за тик, стоп за тик внутрь, тейк 1:1, дедлайн 60000 мс), порог H3=1145 лотов, касаний 100887, бинлогов 2
profile_id,n_signals,n_submitted,n_filled,fill,n_busy,n_entry_timeout,n_stop,n_take,n_timeout,net_bps,net_fill_bps,net_fill_lo_bps,net_fill_point_bps,days,incomplete
все,100887,10,1,0.100000,100862,9,1,0,0,-17.335785,-0.000172,-0.000258,-0.000172,2,true
"возраст:[0,10m)",100887,10,1,0.100000,100862,9,1,0,0,-17.335785,-0.000172,-0.000258,-0.000172,2,true
"размер:[2,4)",13184,5,1,0.200000,13177,4,1,0,0,-17.335785,-0.001315,-0.001973,-0.001315,2,true
"фронтран:(0,0.5)",9792,1,0,0.000000,9790,1,0,0,0,—,0.000000,—,—,2,true
круглость:0,89229,10,1,0.100000,89206,9,1,0,0,-17.335785,-0.000194,-0.000291,-0.000194,2,true
номер:1,91755,10,1,0.100000,91735,9,1,0,0,-17.335785,-0.000189,-0.000283,-0.000189,2,true
сторона:bid,51571,6,0,0.000000,51558,6,0,0,0,—,0.000000,—,—,2,true
"размер:[1,2)",22068,2,0,0.000000,22058,2,0,0,0,—,0.000000,—,—,2,true
фронтран:0,17856,3,1,0.333333,17846,2,1,0,0,-17.335785,-0.000971,-0.001457,-0.000971,2,true
сторона:ask,49316,4,1,0.250000,49304,3,1,0,0,-17.335785,-0.000352,-0.000527,-0.000352,2,true
"фронтран:[0.5,inf)",73239,6,0,0.000000,73226,6,0,0,0,—,0.000000,—,—,2,true
"размер:[4,inf)",25207,0,0,—,25206,0,0,0,0,—,0.000000,—,—,2,true
номер:2-3,8470,0,0,—,8465,0,0,0,0,—,0.000000,—,—,2,true
круглость:1,9700,0,0,—,9698,0,0,0,0,—,0.000000,—,—,2,true
круглость:>=2,1958,0,0,—,1958,0,0,0,0,—,0.000000,—,—,2,true
номер:>=4,662,0,0,—,662,0,0,0,0,—,0.000000,—,—,2,true
