# # lob backtest --touches: SOLUSDT data\always-on\20260912T201737Z RTT=20000000нс assumed(В-37), сделка-отскок В-44 (вход за тик, стоп за тик внутрь, тейк 1:1, дедлайн 60000 мс), порог H3=9 лотов, касаний 1172, бинлогов 2
profile_id,n_signals,n_submitted,n_filled,fill,n_busy,n_entry_timeout,n_stop,n_take,n_timeout,net_bps,net_fill_bps,net_fill_lo_bps,net_fill_point_bps,days,incomplete
все,1172,575,553,0.961739,597,22,327,89,137,-8.118445,-3.830631,-5.745947,-3.830631,2,false
"возраст:[0,10m)",1155,563,542,0.962700,592,21,322,85,135,-8.138307,-3.819015,-5.728523,-3.819015,2,false
"размер:[4,inf)",1125,546,525,0.961538,579,21,307,85,133,-8.112094,-3.785644,-5.678466,-3.785644,2,false
"фронтран:(0,0.5)",247,121,120,0.991736,126,1,59,27,34,-7.811710,-3.795163,-5.692744,-3.795163,2,false
круглость:0,1050,516,496,0.961240,534,20,298,77,121,-8.171498,-3.860060,-5.790090,-3.860060,2,false
номер:1,1093,553,531,0.960217,540,22,316,86,129,-8.114417,-3.942137,-5.913205,-3.942137,2,false
сторона:ask,607,306,295,0.964052,301,11,174,41,80,-8.176337,-3.973673,-5.960509,-3.973673,2,false
"фронтран:[0.5,inf)",857,442,421,0.952489,415,21,261,60,100,-8.207157,-4.031754,-6.047631,-4.031754,2,false
круглость:1,117,54,52,0.962963,63,2,29,7,16,-8.011239,-3.560551,-5.340826,-3.560551,2,false
"размер:[2,4)",16,9,9,1.000000,7,0,5,2,2,-8.046422,-4.526112,-6.789169,-4.526112,2,false
сторона:bid,565,269,258,0.959108,296,11,153,48,57,-8.052250,-3.676956,-5.515435,-3.676956,2,false
фронтран:0,68,12,12,1.000000,56,0,7,2,3,-8.073481,-1.424732,-2.137098,-1.424732,2,false
"размер:[1,2)",10,6,6,1.000000,4,0,5,0,1,-8.974987,-5.384992,-8.077488,-5.384992,2,false
"возраст:[10m,1h)",17,12,11,0.916667,5,1,5,4,2,-7.139767,-4.619849,-6.929774,-4.619849,2,false
номер:2-3,79,22,22,1.000000,57,0,11,3,8,-8.215663,-2.287906,-3.431859,-2.287906,2,false
круглость:>=2,5,5,5,1.000000,0,0,0,5,0,-3.970473,-3.970473,-5.955709,-3.970473,1,false
