# # lob backtest --touches: STORJUSDT data\always-on\20260912T201737Z RTT=20000000нс assumed(В-37), сделка-отскок В-44 (вход за тик, стоп за тик внутрь, тейк 1:1, дедлайн 60000 мс), порог H3=960 лотов, касаний 17555, бинлогов 2
profile_id,n_signals,n_submitted,n_filled,fill,n_busy,n_entry_timeout,n_stop,n_take,n_timeout,net_bps,net_fill_bps,net_fill_lo_bps,net_fill_point_bps,days,incomplete
все,17555,110,24,0.218182,17445,86,20,4,0,-16.785324,-0.022949,-0.034424,-0.022949,2,true
"возраст:[0,10m)",17554,110,24,0.218182,17444,86,20,4,0,-16.785324,-0.022950,-0.034426,-0.022950,2,true
"размер:[4,inf)",13166,81,22,0.271605,13085,59,18,4,0,-17.299426,-0.028909,-0.043364,-0.028909,2,true
"фронтран:[0.5,inf)",12498,81,17,0.209877,12417,64,14,3,0,-14.897730,-0.020266,-0.030399,-0.020266,2,true
круглость:0,15625,102,22,0.215686,15523,80,19,3,0,-17.629973,-0.024825,-0.037237,-0.024825,2,true
номер:1,15922,102,24,0.235294,15820,78,20,4,0,-16.785324,-0.025303,-0.037954,-0.025303,2,true
сторона:ask,8050,59,15,0.254237,7991,44,13,2,0,-17.019074,-0.031713,-0.047569,-0.031713,2,true
"фронтран:(0,0.5)",2643,17,6,0.352941,2626,11,5,1,0,-15.983768,-0.036286,-0.054428,-0.036286,2,true
сторона:bid,9505,51,9,0.176471,9454,42,7,2,0,-16.395741,-0.015526,-0.023289,-0.015526,2,true
"размер:[2,4)",1026,10,1,0.100000,1016,9,1,0,0,-7.500000,-0.007310,-0.010965,-0.007310,2,true
круглость:1,1749,7,2,0.285714,1742,5,1,1,0,-7.494182,-0.008570,-0.012855,-0.008570,2,true
фронтран:0,2414,12,1,0.083333,2402,11,1,0,0,-53.683763,-0.022239,-0.033358,-0.022239,2,true
"размер:[1,2)",1921,7,0,0.000000,1914,7,0,0,0,—,0.000000,—,—,2,true
номер:2-3,1486,8,0,0.000000,1478,8,0,0,0,—,0.000000,—,—,2,true
круглость:>=2,181,1,0,0.000000,180,1,0,0,0,—,0.000000,—,—,2,true
номер:>=4,147,0,0,—,147,0,0,0,0,—,0.000000,—,—,2,true
"возраст:[10m,1h)",1,0,0,—,1,0,0,0,0,—,0.000000,—,—,1,true
