# # lob backtest --touches: ENAUSDT data\always-on\20260912T201737Z RTT=20000000нс assumed(В-37), сделка-отскок В-44 (вход за тик, стоп за тик внутрь, тейк 1:1, дедлайн 60000 мс), порог H3=54 лотов, касаний 3235, бинлогов 2
profile_id,n_signals,n_submitted,n_filled,fill,n_busy,n_entry_timeout,n_stop,n_take,n_timeout,net_bps,net_fill_bps,net_fill_lo_bps,net_fill_point_bps,days,incomplete
все,3235,156,150,0.961538,3079,6,120,24,6,-8.004371,-0.371146,-0.556718,-0.371146,2,false
"возраст:[0,10m)",3234,156,150,0.961538,3078,6,120,24,6,-8.004371,-0.371260,-0.556890,-0.371260,2,false
"размер:[1,2)",660,23,23,1.000000,637,0,19,3,1,-8.206216,-0.285974,-0.428961,-0.285974,2,false
"фронтран:[0.5,inf)",2614,120,115,0.958333,2494,5,96,17,2,-8.016497,-0.352677,-0.529015,-0.352677,2,false
круглость:0,2908,137,132,0.963504,2771,5,107,20,5,-8.019640,-0.364028,-0.546042,-0.364028,2,false
номер:1,3150,154,148,0.961039,2996,6,120,23,5,-8.025508,-0.377071,-0.565607,-0.377071,2,false
сторона:bid,1524,67,64,0.955224,1457,3,48,12,4,-7.985684,-0.335357,-0.503035,-0.335357,2,false
"размер:[4,inf)",1857,99,94,0.949495,1758,5,71,19,4,-7.838779,-0.396793,-0.595190,-0.396793,2,false
"фронтран:(0,0.5)",497,31,31,1.000000,466,0,21,7,3,-7.887771,-0.491994,-0.737991,-0.491994,2,false
сторона:ask,1711,89,86,0.966292,1622,3,72,12,2,-8.018279,-0.403023,-0.604534,-0.403023,2,false
круглость:1,305,19,18,0.947368,286,1,13,4,1,-7.892403,-0.465781,-0.698672,-0.465781,2,false
фронтран:0,124,5,4,0.800000,119,1,3,0,1,-8.559423,-0.276110,-0.414166,-0.276110,2,false
"размер:[2,4)",478,22,22,1.000000,456,0,19,2,1,-8.239558,-0.379227,-0.568840,-0.379227,2,false
номер:2-3,83,2,2,1.000000,81,0,0,1,1,-6.440302,-0.155188,-0.232782,-0.155188,2,false
номер:>=4,2,0,0,—,2,0,0,0,0,—,0.000000,—,—,1,false
круглость:>=2,22,0,0,—,22,0,0,0,0,—,0.000000,—,—,2,false
"возраст:[10m,1h)",1,0,0,—,1,0,0,0,0,—,0.000000,—,—,1,false
