# # lob backtest --touches: HYPEUSDT data\always-on\20260912T201737Z RTT=20000000нс assumed(В-37), сделка-отскок В-44 (вход за тик, стоп за тик внутрь, тейк 1:1, дедлайн 60000 мс), порог H3=132 лотов, касаний 1486, бинлогов 2
profile_id,n_signals,n_submitted,n_filled,fill,n_busy,n_entry_timeout,n_stop,n_take,n_timeout,net_bps,net_fill_bps,net_fill_lo_bps,net_fill_point_bps,days,incomplete
все,1486,677,653,0.964549,808,24,424,116,113,-8.307576,-3.655558,-5.483336,-3.655558,2,true
"возраст:[0,10m)",1478,671,647,0.964232,806,24,420,115,112,-8.309241,-3.642330,-5.463495,-3.642330,2,true
"размер:[4,inf)",1289,572,550,0.961538,716,22,345,106,99,-8.245990,-3.521191,-5.281787,-3.521191,2,true
"фронтран:[0.5,inf)",1030,497,478,0.961771,533,19,324,78,76,-8.384732,-3.894948,-5.842423,-3.894948,2,true
круглость:0,1353,616,597,0.969156,736,19,386,104,107,-8.324253,-3.678445,-5.517668,-3.678445,2,true
номер:1,1376,651,629,0.966206,724,22,404,114,111,-8.296360,-3.797970,-5.696955,-3.797970,2,true
сторона:bid,729,327,313,0.957187,401,14,206,50,57,-8.384340,-3.609764,-5.414646,-3.609764,2,true
сторона:ask,757,350,340,0.971429,407,10,218,66,56,-8.236908,-3.699536,-5.549304,-3.699536,2,true
"фронтран:(0,0.5)",374,170,166,0.976471,203,4,94,36,36,-8.098849,-3.604313,-5.406470,-3.604313,2,true
"размер:[1,2)",33,20,20,1.000000,13,0,13,3,4,-8.571224,-5.194681,-7.792022,-5.194681,2,true
круглость:1,133,61,56,0.918033,72,5,38,12,6,-8.129788,-3.423069,-5.134603,-3.423069,2,true
"размер:[2,4)",55,29,29,1.000000,26,0,23,0,6,-9.365738,-4.938298,-7.407448,-4.938298,2,true
фронтран:0,82,10,9,0.900000,72,1,6,2,1,-8.059630,-0.884594,-1.326890,-0.884594,2,true
номер:2-3,92,24,22,0.916667,68,2,18,2,2,-8.530504,-2.039903,-3.059855,-2.039903,2,true
номер:>=4,18,2,2,1.000000,16,0,2,0,0,-9.382924,-1.042547,-1.563821,-1.042547,2,true
"возраст:[10m,1h)",8,6,6,1.000000,2,0,4,1,1,-8.128088,-6.096066,-9.144099,-6.096066,2,true
