# # lob backtest --touches: NEARUSDT data\always-on\20260912T201737Z RTT=20000000нс assumed(В-37), сделка-отскок В-44 (вход за тик, стоп за тик внутрь, тейк 1:1, дедлайн 60000 мс), порог H3=120 лотов, касаний 1046, бинлогов 2
profile_id,n_signals,n_submitted,n_filled,fill,n_busy,n_entry_timeout,n_stop,n_take,n_timeout,net_bps,net_fill_bps,net_fill_lo_bps,net_fill_point_bps,days,incomplete
все,1046,515,499,0.968932,530,16,289,50,160,-9.886337,-4.725366,-7.088049,-4.725366,2,true
"возраст:[0,10m)",1003,480,465,0.968750,522,15,266,45,154,-9.933553,-4.614488,-6.921732,-4.614488,2,true
"размер:[4,inf)",1033,506,490,0.968379,526,16,284,49,157,-9.878512,-4.694928,-7.042392,-4.694928,2,true
"фронтран:[0.5,inf)",473,255,249,0.976471,217,6,152,23,74,-10.070246,-5.312481,-7.968722,-5.312481,2,true
круглость:0,951,473,457,0.966173,478,16,259,43,155,-9.902256,-4.763506,-7.145260,-4.763506,2,true
номер:1,888,446,434,0.973094,441,12,252,42,140,-9.989261,-4.893159,-7.339739,-4.893159,2,true
сторона:bid,517,243,236,0.971193,273,7,134,28,74,-9.815376,-4.489203,-6.733805,-4.489203,2,true
сторона:ask,529,272,263,0.966912,257,9,155,22,86,-9.950014,-4.956162,-7.434243,-4.956162,2,true
"фронтран:(0,0.5)",490,242,233,0.962810,248,9,123,26,84,-9.554865,-4.552727,-6.829091,-4.552727,2,true
номер:2-3,148,62,58,0.935484,86,4,34,8,16,-9.330797,-3.656664,-5.484995,-3.656664,2,true
круглость:1,95,42,42,1.000000,52,0,30,7,5,-9.713125,-4.339907,-6.509860,-4.339907,2,true
фронтран:0,83,18,17,0.944444,65,1,14,1,2,-11.735739,-2.403706,-3.605558,-2.403706,2,true
"возраст:[10m,1h)",43,35,34,0.971429,8,1,23,5,6,-9.240594,-7.306516,-10.959774,-7.306516,2,true
номер:>=4,10,7,7,1.000000,3,0,3,0,4,-8.108152,-5.675707,-8.513560,-5.675707,2,true
"размер:[1,2)",3,3,3,1.000000,0,0,2,0,1,-13.140235,-13.140235,-19.710353,-13.140235,2,true
"размер:[2,4)",4,1,1,1.000000,3,0,0,0,1,-3.271670,-0.817918,-1.226876,-0.817918,2,true
