# # lob backtest --touches: SUIUSDT data\always-on\20260912T201737Z RTT=20000000нс assumed(В-37), сделка-отскок В-44 (вход за тик, стоп за тик внутрь, тейк 1:1, дедлайн 60000 мс), порог H3=7 лотов, касаний 1642, бинлогов 2
profile_id,n_signals,n_submitted,n_filled,fill,n_busy,n_entry_timeout,n_stop,n_take,n_timeout,net_bps,net_fill_bps,net_fill_lo_bps,net_fill_point_bps,days,incomplete
все,1642,174,162,0.931034,1468,12,115,18,29,-8.158457,-0.804915,-1.207372,-0.804915,2,false
"возраст:[0,10m)",1620,173,161,0.930636,1447,12,114,18,29,-8.153938,-0.810361,-1.215541,-0.810361,2,false
"размер:[4,inf)",1372,147,135,0.918367,1225,12,93,16,26,-8.095298,-0.796549,-1.194823,-0.796549,2,false
"фронтран:(0,0.5)",419,49,45,0.918367,370,4,32,6,7,-8.146307,-0.874902,-1.312353,-0.874902,2,false
круглость:0,1492,158,146,0.924051,1334,12,104,18,24,-8.107298,-0.793341,-1.190012,-0.793341,2,false
номер:1,1475,165,153,0.927273,1310,12,109,16,28,-8.188123,-0.849344,-1.274016,-0.849344,2,false
сторона:bid,813,89,85,0.955056,724,4,64,9,12,-8.395792,-0.877789,-1.316683,-0.877789,2,false
сторона:ask,829,85,77,0.905882,744,8,51,9,17,-7.896464,-0.733447,-1.100171,-0.733447,2,false
номер:2-3,154,9,9,1.000000,145,0,6,2,1,-7.654129,-0.447319,-0.670979,-0.447319,2,false
"фронтран:[0.5,inf)",1067,121,115,0.950413,946,6,81,12,22,-8.162629,-0.879759,-1.319638,-0.879759,2,false
круглость:1,149,16,16,1.000000,133,0,11,0,5,-8.625288,-0.926205,-1.389308,-0.926205,2,false
"размер:[1,2)",71,6,6,1.000000,65,0,4,2,0,-7.729656,-0.653210,-0.979816,-0.653210,2,false
фронтран:0,156,4,2,0.500000,152,2,2,0,0,-8.191946,-0.105025,-0.157537,-0.105025,2,false
"размер:[2,4)",94,10,10,1.000000,84,0,8,0,2,-8.607267,-0.915667,-1.373500,-0.915667,2,false
номер:>=4,13,0,0,—,13,0,0,0,0,—,0.000000,—,—,2,false
"возраст:[10m,1h)",22,1,1,1.000000,21,0,1,0,0,-8.886001,-0.403909,-0.605864,-0.403909,2,false
круглость:>=2,1,0,0,—,1,0,0,0,0,—,0.000000,—,—,1,false
