# # lob backtest --touches: XRPUSDT data\always-on\20260912T201737Z RTT=20000000нс assumed(В-37), сделка-отскок В-44 (вход за тик, стоп за тик внутрь, тейк 1:1, дедлайн 60000 мс), порог H3=117 лотов, касаний 965, бинлогов 2
profile_id,n_signals,n_submitted,n_filled,fill,n_busy,n_entry_timeout,n_stop,n_take,n_timeout,net_bps,net_fill_bps,net_fill_lo_bps,net_fill_point_bps,days,incomplete
все,965,142,135,0.950704,823,7,86,22,27,-7.749979,-1.084194,-1.626291,-1.084194,2,false
"возраст:[0,10m)",955,142,135,0.950704,813,7,86,22,27,-7.749979,-1.095547,-1.643320,-1.095547,2,false
"размер:[4,inf)",896,130,124,0.953846,766,6,75,22,27,-7.701168,-1.065787,-1.598680,-1.065787,2,false
"фронтран:[0.5,inf)",682,100,96,0.960000,582,4,62,17,17,-7.774989,-1.094427,-1.641640,-1.094427,2,false
круглость:0,865,129,124,0.961240,736,5,78,21,25,-7.736664,-1.109071,-1.663606,-1.109071,2,false
номер:1,922,137,130,0.948905,785,7,83,20,27,-7.770884,-1.095678,-1.643517,-1.095678,2,false
сторона:ask,491,68,66,0.970588,423,2,37,13,16,-7.544667,-1.014151,-1.521226,-1.014151,2,false
"фронтран:(0,0.5)",241,39,36,0.923077,202,3,22,4,10,-7.704150,-1.150827,-1.726241,-1.150827,2,false
"размер:[1,2)",23,3,3,1.000000,20,0,3,0,0,-8.233550,-1.073941,-1.610912,-1.073941,2,false
сторона:bid,474,74,69,0.932432,400,5,49,9,11,-7.946365,-1.156749,-1.735124,-1.156749,2,false
"размер:[2,4)",31,5,5,1.000000,26,0,5,0,0,-8.380110,-1.351631,-2.027446,-1.351631,2,false
номер:2-3,43,5,5,1.000000,38,0,3,2,0,-7.206444,-0.837959,-1.256938,-0.837959,2,false
круглость:1,100,13,11,0.846154,87,2,8,1,2,-7.900079,-0.869009,-1.303513,-0.869009,2,false
фронтран:0,42,3,3,1.000000,39,0,2,1,0,-7.499624,-0.535687,-0.803531,-0.535687,2,false
"возраст:[10m,1h)",10,0,0,—,10,0,0,0,0,—,0.000000,—,—,2,false
