# # lob backtest --touches: ZECUSDT data\always-on\20260912T201737Z RTT=20000000нс assumed(В-37), сделка-отскок В-44 (вход за тик, стоп за тик внутрь, тейк 1:1, дедлайн 60000 мс), порог H3=4 лотов, касаний 4724, бинлогов 2
profile_id,n_signals,n_submitted,n_filled,fill,n_busy,n_entry_timeout,n_stop,n_take,n_timeout,net_bps,net_fill_bps,net_fill_lo_bps,net_fill_point_bps,days,incomplete
все,4724,367,333,0.907357,4357,34,235,98,0,-7.551471,-0.532312,-0.798467,-0.532312,2,false
"возраст:[0,10m)",4724,367,333,0.907357,4357,34,235,98,0,-7.551471,-0.532312,-0.798467,-0.532312,2,false
"размер:[1,2)",243,18,18,1.000000,225,0,14,4,0,-7.648495,-0.566555,-0.849833,-0.566555,2,false
"фронтран:(0,0.5)",701,52,48,0.923077,649,4,35,13,0,-7.462761,-0.511002,-0.766503,-0.511002,2,false
круглость:0,4043,312,283,0.907051,3731,29,203,80,0,-7.567147,-0.529682,-0.794522,-0.529682,2,false
номер:1,4609,363,330,0.909091,4246,33,233,97,0,-7.551937,-0.540711,-0.811067,-0.540711,2,false
сторона:ask,2369,175,165,0.942857,2194,10,107,58,0,-7.446443,-0.518642,-0.777963,-0.518642,2,false
"размер:[4,inf)",3160,259,232,0.895753,2901,27,155,77,0,-7.539300,-0.553518,-0.830277,-0.553518,2,false
"фронтран:[0.5,inf)",3790,305,276,0.904918,3485,29,195,81,0,-7.563740,-0.550816,-0.826224,-0.550816,2,false
сторона:bid,2355,192,168,0.875000,2163,24,128,40,0,-7.654623,-0.546062,-0.819093,-0.546062,2,false
круглость:1,568,47,44,0.936170,521,3,29,15,0,-7.469826,-0.578648,-0.867973,-0.578648,2,false
"размер:[2,4)",484,28,26,0.928571,456,2,20,6,0,-7.524159,-0.404190,-0.606286,-0.404190,2,false
круглость:>=2,113,8,6,0.750000,105,2,3,3,0,-7.410820,-0.393495,-0.590242,-0.393495,2,false
фронтран:0,233,10,9,0.900000,223,1,5,4,0,-7.648339,-0.295429,-0.443144,-0.295429,2,false
номер:2-3,115,4,3,0.750000,111,1,2,1,0,-7.500189,-0.195657,-0.293486,-0.195657,2,false
