n,cum_net_bps
1,-7.411219
2,-14.999983
3,-22.322464
4,-29.911226
5,-37.233669
6,-44.822426
7,-52.766097
8,-60.621057
9,-67.943497
10,-75.532266
11,-82.854695
12,-90.177151
13,-97.499610
14,-104.822091
15,-113.120955
16,-120.709725
17,-128.298508
18,-135.887295
19,-143.209684
20,-150.798472
21,-158.387262
22,-165.976065
23,-173.564879
24,-181.153703
25,-188.476069
26,-196.064871
27,-203.653689
28,-211.242509
29,-228.965822
30,-236.109862
31,-242.186551
32,-249.419719
33,-256.741829
34,-265.754015
35,-273.342980
36,-280.931947
37,-288.520916
38,-295.842978
39,-303.165038
40,-311.643694
41,-319.232698
42,-326.821707
43,-334.410721
44,-341.999778
45,-349.588797
46,-357.177805
47,-364.766773
48,-372.355748
49,-381.190802
50,-388.779857
51,-398.061594
52,-405.383342
53,-412.972459
54,-420.561569
55,-428.150629
56,-435.472530
57,-442.794428
58,-450.917886
59,-458.506972
60,-466.096047
61,-474.041482
62,-481.630572
63,-489.665121
64,-497.254273
65,-505.110900
66,-512.700107
67,-520.289278
68,-527.878415
69,-536.359235
70,-544.037641
71,-552.340560
72,-559.662111
73,-565.644728
74,-572.341515
75,-579.930697
76,-587.519918
77,-595.109176
78,-602.698437
79,-610.287702
80,-617.876972
81,-625.466266
82,-633.055546
83,-641.984334
84,-649.573649
85,-657.162968
86,-664.752309
87,-669.838750
88,-674.567676
89,-682.335778
90,-689.835778
91,-697.425182
92,-704.477959
93,-712.067384
94,-719.656784
95,-726.978014
96,-737.249806
97,-744.570917
98,-752.070917
99,-760.286161
100,-767.875567
101,-775.464965
102,-783.054284
103,-790.643600
104,-798.232887
105,-805.822169
106,-814.304390
107,-821.893691
108,-829.482991
109,-837.072284
110,-844.125851
111,-851.715137
112,-859.036566
113,-866.625841
114,-873.947297
115,-881.536570
116,-889.215102
117,-896.536594
118,-904.125837
119,-911.715074
120,-919.304308
121,-926.625874
122,-933.947397
123,-941.536606
124,-948.858189
125,-956.358189
126,-963.947420
127,-971.268949
128,-978.858092
129,-986.447277
130,-996.353415
131,-1003.675224
132,-1011.264328
133,-1018.853430
134,-1026.442553
135,-1033.764361
136,-1041.353466
137,-1048.942590
138,-1056.531683
139,-1064.120810
140,-1071.620810
141,-1078.942501
142,-1088.849991
143,-1096.439181
144,-1104.028347
145,-1112.241589
146,-1119.830741
147,-1127.152454
148,-1134.741615
149,-1142.330780
150,-1151.076908
151,-1158.398930
152,-1167.678875
153,-1175.267866
154,-1182.589897
155,-1189.911926
156,-1197.233954
157,-1204.822942
158,-1212.144926
159,-1219.466947
160,-1227.055948
161,-1234.644956
162,-1242.233984
163,-1249.555935
164,-1256.877882
165,-1264.199839
166,-1271.788865
167,-1280.001192
168,-1287.323074
169,-1294.644951
170,-1302.233973
171,-1309.556011
172,-1317.144998
173,-1324.734000
174,-1332.323014
175,-1339.645001
176,-1347.233974
177,-1354.822974
178,-1363.212986
179,-1370.801973
180,-1378.390925
181,-1385.713007
182,-1393.301964
183,-1400.890913
184,-1408.479860
185,-1415.802021
186,-1423.124186
187,-1430.713131
188,-1438.302073
189,-1445.624191
190,-1453.213087
191,-1460.801982
192,-1468.124214
193,-1475.446513
194,-1483.035367
195,-1489.468720
196,-1496.791015
197,-1504.379911
198,-1511.968786
199,-1519.557653
200,-1527.146512
201,-1534.735366
202,-1542.324248
203,-1549.913106
204,-1557.235390
205,-1564.557669
206,-1572.146527
207,-1579.735331
208,-1587.324158
209,-1594.912988
210,-1602.501827
211,-1611.067897
212,-1618.390236
213,-1625.890236
214,-1633.212678
215,-1640.801476
216,-1648.390273
217,-1655.979074
218,-1663.567894
219,-1671.334428
220,-1678.923283
221,-1686.512147
222,-1694.101013
223,-1701.689884
224,-1709.012086
225,-1716.600968
226,-1724.189850
227,-1731.778723
228,-1739.367593
229,-1746.956363
230,-1754.545147
231,-1762.133934
232,-1769.722713
233,-1777.311478
234,-1784.633933
235,-1791.956465
236,-1799.545212
237,-1806.867712
238,-1814.190205
239,-1822.045196
240,-1829.633939
241,-1837.222674
242,-1844.811360
243,-1852.400077
244,-1859.988771
245,-1867.577456
246,-1874.900041
247,-1882.488741
248,-1890.432168
249,-1898.020848
250,-1886.012459
251,-1893.601309
252,-1901.190160
253,-1909.489769
254,-1917.078608
255,-1925.822003
256,-1937.052286
257,-1943.753684
258,-1950.632483
259,-1958.221214
260,-1965.543759
261,-1972.866302
262,-1980.455023
263,-1988.043724
264,-1995.366356
265,-2002.955056
266,-2010.277601
267,-2017.866313
268,-2025.455018
269,-2033.043722
270,-2040.632435
271,-2048.221157
272,-2055.809886
273,-2063.398624
274,-2070.721179
275,-2078.309925
276,-2085.898681
277,-2093.221138
278,-2104.358050
279,-2111.946804
280,-2119.535559
281,-2127.124313
282,-2134.713055
283,-2142.035574
284,-2149.624326
285,-2157.213073
286,-2164.801803
287,-2172.124363
288,-2179.713090
289,-2187.301816
290,-2194.624338
291,-2200.526539
292,-2207.849041
293,-2215.171484
294,-2222.493911
295,-2229.549945
296,-2236.872366
297,-2244.194780
298,-2251.783583
299,-2259.372387
300,-2267.405209
301,-2275.704406
302,-2283.115603
303,-2289.549571
304,-2297.138388
305,-2304.460790
306,-2311.783181
307,-2319.105564
308,-2326.427947
309,-2333.039745
310,-2340.362149
311,-2347.950949
312,-2355.273387
313,-2362.950962
314,-2370.273389
315,-2377.595813
316,-2384.918252
317,-2392.507037
318,-2399.829465
319,-2407.418260
320,-2415.007063
321,-2422.595868
322,-2430.184691
323,-2437.773524
324,-2445.362361
325,-2452.951201
326,-2460.273521
327,-2467.862381
328,-2475.451242
329,-2484.106449
330,-2491.695322
331,-2499.284212
332,-2507.050896
333,-2514.639853
