# # lob backtest --touches: ZECUSDT data\always-on\20260912T201737Z RTT=20000000нс assumed(В-37), сделка-отскок В-44 (вход за тик, стоп за тик внутрь, тейк 1:1, дедлайн 60000 мс), порог H3=4 лотов, касаний 4689, бинлогов 2
profile_id,n_signals,n_submitted,n_filled,fill,n_busy,n_entry_timeout,n_stop,n_take,n_timeout,net_bps,net_fill_bps,net_fill_lo_bps,net_fill_point_bps,days,incomplete
все,4689,367,333,0.907357,4322,34,235,98,0,-7.551471,-0.536285,-0.804427,-0.536285,2,false
"возраст:[0,10m)",4689,367,333,0.907357,4322,34,235,98,0,-7.551471,-0.536285,-0.804427,-0.536285,2,false
"размер:[1,2)",242,18,18,1.000000,224,0,14,4,0,-7.648495,-0.568896,-0.853344,-0.568896,2,false
"фронтран:(0,0.5)",697,52,48,0.923077,645,4,35,13,0,-7.462761,-0.513935,-0.770902,-0.513935,2,false
круглость:0,4012,312,283,0.907051,3700,29,203,80,0,-7.567147,-0.533774,-0.800661,-0.533774,2,false
номер:1,4576,363,330,0.909091,4213,33,233,97,0,-7.551937,-0.544611,-0.816916,-0.544611,2,false
сторона:ask,2355,175,165,0.942857,2180,10,107,58,0,-7.446443,-0.521725,-0.782588,-0.521725,2,false
"размер:[4,inf)",3135,259,232,0.895753,2876,27,155,77,0,-7.539300,-0.557932,-0.836898,-0.557932,2,false
"фронтран:[0.5,inf)",3761,305,276,0.904918,3456,29,195,81,0,-7.563740,-0.555063,-0.832595,-0.555063,2,false
сторона:bid,2334,192,168,0.875000,2142,24,128,40,0,-7.654623,-0.550975,-0.826463,-0.550975,2,false
круглость:1,566,47,44,0.936170,519,3,29,15,0,-7.469826,-0.580693,-0.871040,-0.580693,2,false
"размер:[2,4)",483,28,26,0.928571,455,2,20,6,0,-7.524159,-0.405027,-0.607541,-0.405027,2,false
круглость:>=2,111,8,6,0.750000,103,2,3,3,0,-7.410820,-0.400585,-0.600877,-0.400585,2,false
фронтран:0,231,10,9,0.900000,221,1,5,4,0,-7.648339,-0.297987,-0.446981,-0.297987,2,false
номер:2-3,113,4,3,0.750000,109,1,2,1,0,-7.500189,-0.199120,-0.298680,-0.199120,2,false
