set,form,short,история_n,история_net,история_control,история_excess,история_days_pos,история_days,история_usd,запись_n,запись_net,запись_control,запись_excess,запись_days_pos,запись_days,запись_usd,holds
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800,pct2 · tk1.75 · 4 ч · без выхода по стене,182,27.8226,-13.6373,41.4599,12,15,506.37132,43,65.4362,20.2021,45.2341,4,6,281.37566000000004,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone50be,pct2 · tk1.75 · 4 ч · gone50be,240,12.9557,-9.1459,22.1016,10,15,310.9368,54,23.3954,3.5825,19.8129,5,7,126.33516,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone50bex,pct2 · tk1.75 · 4 ч · gone50bex,295,4.0647,-6.9952,11.0599,10,15,119.90865000000001,59,9.92,0.908,9.012,5,7,58.528,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90be,pct2 · tk1.75 · 4 ч · gone90be,225,15.7097,-8.9584,24.6681,10,15,353.46825,52,34.3251,6.3116,28.0135,4,7,178.49052,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90bex,pct2 · tk1.75 · 4 ч · gone90bex,273,5.6748,-7.3924,13.0672,10,15,154.92204,58,27.2557,3.0276,24.2281,5,7,158.08306,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800,pct2 · tk1.75 · 2 ч · без выхода по стене,209,13.2755,-12.1615,25.437,8,15,277.45795,55,57.3524,8.3741,48.9782,6,7,315.4382,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone50be,pct2 · tk1.75 · 2 ч · gone50be,258,6.8595,-8.2862,15.1457,11,15,176.9751,60,23.8633,0.523,23.3403,6,7,143.1798,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone50bex,pct2 · tk1.75 · 2 ч · gone50bex,308,0.7865,-7.1573,7.9438,10,15,24.2242,64,9.855,-1.3856,11.2407,5,7,63.072,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone90be,pct2 · tk1.75 · 2 ч · gone90be,244,7.3476,-8.3296,15.6772,10,15,179.28144,58,29.2251,2.6547,26.5704,5,7,169.50558,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone90bex,pct2 · tk1.75 · 2 ч · gone90bex,290,1.264,-7.5767,8.8407,10,15,36.656,62,22.7812,0.3275,22.4537,6,7,141.24344,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-14400-ttl1800,pct2 · tr0.5x0.25 · 4 ч · без выхода по стене,210,13.852,-12.3206,26.1725,12,15,290.892,50,42.126,1.7419,40.3841,7,7,210.62999999999997,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-14400-ttl1800-gone50be,pct2 · tr0.5x0.25 · 4 ч · gone50be,260,7.8654,-7.9359,15.8013,13,15,204.5004,59,20.4929,-1.6286,22.1215,7,7,120.90811,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-14400-ttl1800-gone50bex,pct2 · tr0.5x0.25 · 4 ч · gone50bex,314,1.1284,-6.203,7.3314,13,15,35.431760000000004,63,6.9508,-2.8215,9.7723,6,7,43.79004,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-14400-ttl1800-gone90be,pct2 · tr0.5x0.25 · 4 ч · gone90be,247,8.3779,-8.2629,16.6408,13,15,206.93413,55,26.3027,-0.8424,27.1451,7,7,144.66485,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-14400-ttl1800-gone90bex,pct2 · tr0.5x0.25 · 4 ч · gone90bex,297,1.5625,-6.77,8.3325,13,15,46.40625,62,14.5492,-2.2092,16.7584,7,7,90.20504000000001,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-7200-ttl1800,pct2 · tr0.5x0.25 · 2 ч · без выхода по стене,222,10.4918,-9.9019,20.3936,10,15,232.91796,56,41.9403,0.815,41.1253,7,7,234.86568000000003,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-7200-ttl1800-gone50be,pct2 · tr0.5x0.25 · 2 ч · gone50be,267,5.9712,-7.283,13.2543,12,15,159.43104,63,19.6887,-2.2619,21.9507,7,7,124.03881000000001,да
