set,form,short,история_n,история_net,история_control,история_excess,история_days_pos,история_days,история_usd,запись_n,запись_net,запись_control,запись_excess,запись_days_pos,запись_days,запись_usd,holds
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800,pct2 · tk1.75 · 4 ч · без выхода по стене,182,27.8226,-13.6373,41.4599,12,15,506.37132,43,65.4362,20.2021,45.2341,4,6,281.37566000000004,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone50tr0.25,pct2 · tk1.75 · 4 ч · gone50tr0.25,258,4.8974,-7.2148,12.1122,10,15,126.35292,58,15.2517,0.4921,14.7596,5,7,88.45986,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone50tr0.5,pct2 · tk1.75 · 4 ч · gone50tr0.5,227,9.9393,-8.0421,17.9813,10,15,225.62210999999996,54,36.6212,3.4418,33.1794,5,7,197.75448,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone50tr1,pct2 · tk1.75 · 4 ч · gone50tr1,202,13.9894,-10.215,24.2044,11,15,282.58588,49,56.6768,11.3674,45.3094,5,7,277.71632,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90,pct2 · tk1.75 · 4 ч · gone90,275,4.5283,-7.9608,12.4891,10,15,124.52825,61,25.6005,1.9473,23.6532,5,7,156.16305,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90tr0.25,pct2 · tk1.75 · 4 ч · gone90tr0.25,235,6.9215,-7.5017,14.4231,10,15,162.65525,57,34.3028,3.5722,30.7305,5,7,195.52596,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90tr0.5,pct2 · tk1.75 · 4 ч · gone90tr0.5,218,11.6315,-8.7891,20.4206,8,15,253.56670000000003,54,45.187,5.787,39.4,5,7,244.00979999999998,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90tr1,pct2 · tk1.75 · 4 ч · gone90tr1,194,13.2318,-10.3293,23.5611,10,15,256.69692,49,58.6638,12.7677,45.8961,5,7,287.45262,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800,pct2 · tk1.75 · 2 ч · без выхода по стене,209,13.2755,-12.1615,25.437,8,15,277.45795,55,57.3524,8.3741,48.9782,6,7,315.4382,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone50tr0.25,pct2 · tk1.75 · 2 ч · gone50tr0.25,266,1.346,-7.3506,8.6966,9,15,35.8036,63,13.0473,-1.2228,14.2701,5,7,82.19799,да
