set,form,short,история_n,история_net,история_control,история_excess,история_days_pos,история_days,история_usd,запись_n,запись_net,запись_control,запись_excess,запись_days_pos,запись_days,запись_usd,holds
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk0.5-14400-ttl1800,pct0.5 · tk0.5 · 4 ч · без выхода по стене,240,-3.2924,-7.0598,3.7674,8,15,-79.0176,57,18.3499,-0.595,18.9449,6,7,104.59443000000002,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk0.5-3600-ttl1800,pct0.5 · tk0.5 · 1 ч · без выхода по стене,261,-4.2245,-6.07,1.8455,8,15,-110.25944999999999,60,10.9708,-1.2654,12.2362,6,7,65.82480000000001,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk0.5-7200-ttl1800,pct0.5 · tk0.5 · 2 ч · без выхода по стене,244,-3.2024,-6.868,3.6656,8,15,-78.13856,58,17.1976,-0.8096,18.0072,6,7,99.74608,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk0.75-14400-ttl1800,pct0.5 · tk0.75 · 4 ч · без выхода по стене,233,-0.1373,-7.6974,7.5601,8,15,-3.19909,55,30.6853,0.8583,29.827,7,7,168.76915000000002,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk0.75-3600-ttl1800,pct0.5 · tk0.75 · 1 ч · без выхода по стене,257,-1.4651,-6.2078,4.7427,8,15,-37.65307,60,19.7835,-0.369,20.1525,7,7,118.701,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk0.75-7200-ttl1800,pct0.5 · tk0.75 · 2 ч · без выхода по стене,239,-0.033,-7.4887,7.4557,7,15,-0.7887000000000001,58,28.9599,0.4547,28.5052,7,7,167.96742,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk1-14400-ttl1800,pct0.5 · tk1 · 4 ч · без выхода по стене,223,-0.8738,-8.1746,7.3009,8,15,-19.48574,52,36.4017,5.6841,30.7176,4,7,189.28884,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk1-3600-ttl1800,pct0.5 · tk1 · 1 ч · без выхода по стене,256,-0.3224,-6.3999,6.0776,7,15,-8.253440000000001,60,25.5872,1.4618,24.1254,7,7,153.5232,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk1-7200-ttl1800,pct0.5 · tk1 · 2 ч · без выхода по стене,235,0.3075,-8.0965,8.404,7,15,7.22625,58,32.5325,3.1831,29.3493,6,7,188.6885,да
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk1.25-14400-ttl1800,pct0.5 · tk1.25 · 4 ч · без выхода по стене,221,-2.6321,-8.1777,5.5456,8,15,-58.16940999999999,51,41.1513,8.2007,32.9506,4,7,209.87163,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk1.25-3600-ttl1800,pct0.5 · tk1.25 · 1 ч · без выхода по стене,254,-2.0865,-6.6048,4.5183,7,15,-52.9971,60,28.2824,2.2783,26.0041,5,7,169.6944,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk1.25-7200-ttl1800,pct0.5 · tk1.25 · 2 ч · без выхода по стене,233,-1.5715,-8.3698,6.7983,6,15,-36.61595,58,36.6371,5.0041,31.633,5,7,212.49517999999998,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk1.5-14400-ttl1800,pct0.5 · tk1.5 · 4 ч · без выхода по стене,216,-1.1975,-7.8701,6.6726,4,15,-25.866000000000003,50,39.0568,10.1155,28.9413,3,7,195.28400000000002,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk1.5-3600-ttl1800,pct0.5 · tk1.5 · 1 ч · без выхода по стене,253,-1.6805,-6.599,4.9184,6,15,-42.516650000000006,60,27.895,2.514,25.381,4,7,167.37,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk1.5-7200-ttl1800,pct0.5 · tk1.5 · 2 ч · без выхода по стене,231,-1.379,-8.0478,6.6688,6,15,-31.854899999999997,58,36.3421,5.6827,30.6593,4,7,210.78418000000002,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.5-tk1.75-14400-ttl1800,pct0.5 · tk1.75 · 4 ч · без выхода по стене,215,0.5554,-7.4555,8.0109,4,15,11.9411,50,45.4003,10.9323,34.468,4,7,227.0015,да
