symbol,form,n_fills,n_busy,sum_net_bps,net_per_fill_bps,n_eaten,n_partial
1000PEPEUSDT,at-1to1-3600,25,0,-225.9,-9.03,0,0
1000PEPEUSDT,at-1to1-60,25,0,-225.9,-9.03,0,0
1000PEPEUSDT,at-1to1-600,25,0,-225.9,-9.03,0,0
1000PEPEUSDT,at-1to1-7200,25,0,-225.9,-9.03,0,0
1000PEPEUSDT,behind-1to1-3600,9,16,-63.4,-7.04,0,0
1000PEPEUSDT,behind-1to1-60,9,16,-68.9,-7.66,0,0
1000PEPEUSDT,behind-1to1-600,9,16,-63.4,-7.04,0,0
1000PEPEUSDT,behind-1to1-7200,9,16,-63.4,-7.04,0,0
1000PEPEUSDT,pct0.5-1to1-3600,3,22,122.2,40.72,0,0
1000PEPEUSDT,pct0.5-1to1-60,5,20,-8.4,-1.68,0,0
1000PEPEUSDT,pct0.5-1to1-600,3,22,-16.9,-5.62,0,0
1000PEPEUSDT,pct0.5-1to1-7200,3,22,139.8,46.60,0,0
1000PEPEUSDT,pct1-1to1-3600,3,22,116.1,38.69,0,0
1000PEPEUSDT,pct1-1to1-60,5,20,-8.4,-1.68,0,0
1000PEPEUSDT,pct1-1to1-600,3,22,-16.9,-5.62,0,0
1000PEPEUSDT,pct1-1to1-7200,3,22,81.2,27.06,0,0
1000PEPEUSDT,pct2-1to1-3600,3,22,116.1,38.69,0,0
1000PEPEUSDT,pct2-1to1-60,5,20,-8.4,-1.68,0,0
1000PEPEUSDT,pct2-1to1-600,3,22,-16.9,-5.62,0,0
1000PEPEUSDT,pct2-1to1-7200,3,22,138.9,46.29,0,0
1000PEPEUSDT,stack2-1to1-3600,5,20,-23.2,-4.64,0,0
1000PEPEUSDT,stack2-1to1-60,6,19,-14.7,-2.45,0,0
1000PEPEUSDT,stack2-1to1-600,5,20,-23.2,-4.64,0,0
1000PEPEUSDT,stack2-1to1-7200,5,20,-23.2,-4.64,0,0
ADAUSDT,at-1to1-3600,7,0,-79.5,-11.36,0,0
ADAUSDT,at-1to1-60,7,0,-79.5,-11.36,0,0
ADAUSDT,at-1to1-600,7,0,-79.5,-11.36,0,0
ADAUSDT,at-1to1-7200,7,0,-79.5,-11.36,0,0
ADAUSDT,behind-1to1-3600,3,4,-8.3,-2.78,0,0
ADAUSDT,behind-1to1-60,3,4,-3.6,-1.19,0,0
ADAUSDT,behind-1to1-600,3,4,-8.3,-2.78,0,0
ADAUSDT,behind-1to1-7200,3,4,-8.3,-2.78,0,0
ADAUSDT,pct0.5-1to1-3600,3,4,50.9,16.97,0,0
ADAUSDT,pct0.5-1to1-60,3,4,-3.6,-1.19,0,0
ADAUSDT,pct0.5-1to1-600,3,4,-28.4,-9.46,0,0
ADAUSDT,pct0.5-1to1-7200,3,4,35.6,11.88,0,0
ADAUSDT,pct1-1to1-3600,3,4,-101.9,-33.97,0,0
ADAUSDT,pct1-1to1-60,3,4,-3.6,-1.19,0,0
ADAUSDT,pct1-1to1-600,3,4,-28.4,-9.46,0,0
ADAUSDT,pct1-1to1-7200,3,4,-25.2,-8.41,0,0
ADAUSDT,pct2-1to1-3600,3,4,-111.8,-37.26,0,0
ADAUSDT,pct2-1to1-60,3,4,-3.6,-1.19,0,0
ADAUSDT,pct2-1to1-600,3,4,-28.4,-9.46,0,0
ADAUSDT,pct2-1to1-7200,3,4,-72.8,-24.25,0,0
ADAUSDT,stack2-1to1-3600,3,4,-33.6,-11.21,0,0
ADAUSDT,stack2-1to1-60,3,4,1.6,0.52,0,0
ADAUSDT,stack2-1to1-600,3,4,-33.6,-11.21,0,0
ADAUSDT,stack2-1to1-7200,3,4,-33.6,-11.21,0,0
ARBUSDT,at-1to1-3600,1,0,-13.6,-13.56,0,0
ARBUSDT,at-1to1-60,1,0,-13.6,-13.56,0,0
ARBUSDT,at-1to1-600,1,0,-13.6,-13.56,0,0
ARBUSDT,at-1to1-7200,1,0,-13.6,-13.56,0,0
ARBUSDT,behind-1to1-3600,1,0,-13.6,-13.56,0,0
ARBUSDT,behind-1to1-60,1,0,-13.6,-13.56,0,0
ARBUSDT,behind-1to1-600,1,0,-13.6,-13.56,0,0
ARBUSDT,behind-1to1-7200,1,0,-13.6,-13.56,0,0
ARBUSDT,pct0.5-1to1-3600,1,0,45.1,45.15,0,0
ARBUSDT,pct0.5-1to1-60,1,0,6.2,6.23,0,0
ARBUSDT,pct0.5-1to1-600,1,0,45.1,45.15,0,0
ARBUSDT,pct0.5-1to1-7200,1,0,45.1,45.15,0,0
ARBUSDT,pct1-1to1-3600,1,0,94.6,94.62,0,0
ARBUSDT,pct1-1to1-60,1,0,6.2,6.23,0,0
ARBUSDT,pct1-1to1-600,1,0,94.6,94.62,0,0
ARBUSDT,pct1-1to1-7200,1,0,94.6,94.62,0,0
ARBUSDT,pct2-1to1-3600,1,0,-208.8,-208.79,0,0
ARBUSDT,pct2-1to1-60,1,0,6.2,6.23,0,0
ARBUSDT,pct2-1to1-600,1,0,-22.1,-22.13,0,0
ARBUSDT,pct2-1to1-7200,1,0,-208.8,-208.79,0,0
ASTRUSDT,at-1to1-3600,1,0,-5.9,-5.95,0,0
ASTRUSDT,at-1to1-60,1,0,-5.9,-5.95,0,0
ASTRUSDT,at-1to1-600,1,0,-5.9,-5.95,0,0
ASTRUSDT,at-1to1-7200,1,0,-5.9,-5.95,0,0
ASTRUSDT,behind-1to1-3600,1,0,-16.7,-16.70,0,0
ASTRUSDT,behind-1to1-60,1,0,-16.7,-16.70,0,0
ASTRUSDT,behind-1to1-600,1,0,-16.7,-16.70,0,0
ASTRUSDT,behind-1to1-7200,1,0,-16.7,-16.70,0,0
ASTRUSDT,pct0.5-1to1-3600,1,0,-24.4,-24.37,0,0
ASTRUSDT,pct0.5-1to1-60,1,0,-25.9,-25.91,0,0
ASTRUSDT,pct0.5-1to1-600,1,0,-29.0,-28.98,0,0
ASTRUSDT,pct0.5-1to1-7200,1,0,-55.1,-55.09,0,0
ASTRUSDT,pct1-1to1-3600,1,0,-24.4,-24.37,0,0
ASTRUSDT,pct1-1to1-60,1,0,-25.9,-25.91,0,0
ASTRUSDT,pct1-1to1-600,1,0,-29.0,-28.98,0,0
ASTRUSDT,pct1-1to1-7200,1,0,-105.8,-105.76,0,0
ASTRUSDT,pct2-1to1-3600,1,0,-24.4,-24.37,0,0
ASTRUSDT,pct2-1to1-60,1,0,-25.9,-25.91,0,0
ASTRUSDT,pct2-1to1-600,1,0,-29.0,-28.98,0,0
ASTRUSDT,pct2-1to1-7200,1,0,-73.5,-73.51,0,0
ATOMUSDT,at-1to1-3600,2,0,-25.9,-12.93,0,0
ATOMUSDT,at-1to1-60,2,0,-25.9,-12.93,0,0
ATOMUSDT,at-1to1-600,2,0,-25.9,-12.93,0,0
ATOMUSDT,at-1to1-7200,2,0,-25.9,-12.93,0,0
ATOMUSDT,behind-1to1-3600,2,1,-39.1,-19.56,0,0
ATOMUSDT,behind-1to1-60,2,0,-12.5,-6.27,0,0
ATOMUSDT,behind-1to1-600,2,1,-39.1,-19.56,0,0
ATOMUSDT,behind-1to1-7200,2,1,-39.1,-19.56,0,0
ATOMUSDT,pct0.5-1to1-3600,2,1,-13.1,-6.56,0,0
ATOMUSDT,pct0.5-1to1-60,2,0,-12.5,-6.27,0,0
ATOMUSDT,pct0.5-1to1-600,2,1,26.8,13.42,0,0
ATOMUSDT,pct0.5-1to1-7200,2,1,-13.1,-6.56,0,0
ATOMUSDT,pct1-1to1-3600,1,2,99.2,99.24,0,0
