symbol,form,n_fills,n_busy,sum_net_bps,net_per_fill_bps,n_eaten,n_partial
1000PEPEUSDT,at-1to1-3600,20,0,-179.6,-8.98,0,0
1000PEPEUSDT,at-1to1-60,20,0,-179.6,-8.98,0,0
1000PEPEUSDT,at-1to1-600,20,0,-179.6,-8.98,0,0
1000PEPEUSDT,at-1to1-7200,20,0,-179.6,-8.98,0,0
1000PEPEUSDT,behind-1to1-3600,8,12,-39.4,-4.92,0,0
1000PEPEUSDT,behind-1to1-60,8,12,-44.9,-5.61,0,0
1000PEPEUSDT,behind-1to1-600,8,12,-39.4,-4.92,0,0
1000PEPEUSDT,behind-1to1-7200,8,12,-39.4,-4.92,0,0
1000PEPEUSDT,pct0.5-1to1-3600,3,17,122.2,40.72,0,0
1000PEPEUSDT,pct0.5-1to1-60,5,15,-52.7,-10.55,0,0
1000PEPEUSDT,pct0.5-1to1-600,3,17,-16.9,-5.62,0,0
1000PEPEUSDT,pct0.5-1to1-7200,3,17,139.8,46.60,0,0
1000PEPEUSDT,pct1-1to1-3600,3,17,116.1,38.69,0,0
1000PEPEUSDT,pct1-1to1-60,5,15,-52.7,-10.55,0,0
1000PEPEUSDT,pct1-1to1-600,3,17,-16.9,-5.62,0,0
1000PEPEUSDT,pct1-1to1-7200,3,17,81.2,27.06,0,0
1000PEPEUSDT,pct2-1to1-3600,3,17,116.1,38.69,0,0
1000PEPEUSDT,pct2-1to1-60,5,15,-52.7,-10.55,0,0
1000PEPEUSDT,pct2-1to1-600,3,17,-16.9,-5.62,0,0
1000PEPEUSDT,pct2-1to1-7200,3,17,138.9,46.29,0,0
1000PEPEUSDT,stack2-1to1-3600,5,15,-5.5,-1.10,0,0
1000PEPEUSDT,stack2-1to1-60,5,15,3.4,0.67,0,0
1000PEPEUSDT,stack2-1to1-600,5,15,-5.5,-1.10,0,0
1000PEPEUSDT,stack2-1to1-7200,5,15,-5.5,-1.10,0,0
ADAUSDT,at-1to1-3600,6,0,-68.3,-11.38,0,0
ADAUSDT,at-1to1-60,6,0,-68.3,-11.38,0,0
ADAUSDT,at-1to1-600,6,0,-68.3,-11.38,0,0
ADAUSDT,at-1to1-7200,6,0,-68.3,-11.38,0,0
ADAUSDT,behind-1to1-3600,3,3,-8.3,-2.78,0,0
ADAUSDT,behind-1to1-60,3,3,-3.6,-1.19,0,0
ADAUSDT,behind-1to1-600,3,3,-8.3,-2.78,0,0
ADAUSDT,behind-1to1-7200,3,3,-8.3,-2.78,0,0
ADAUSDT,pct0.5-1to1-3600,3,3,50.9,16.97,0,0
