symbol,form,n_fills,n_busy,sum_net_bps,net_per_fill_bps,n_eaten,n_partial
1000PEPEUSDT,pct0.5-eat50x80-3600,3,22,-23.2,-7.74,3,3
1000PEPEUSDT,pct0.5-eat50x80-60,6,19,-36.9,-6.14,4,4
1000PEPEUSDT,pct0.5-eat50x80-600,3,22,-23.2,-7.74,3,3
1000PEPEUSDT,pct0.5-eat50x80-7200,3,22,-23.2,-7.74,3,3
1000PEPEUSDT,pct0.5-half1to1-3600,3,22,119.1,39.70,0,2
1000PEPEUSDT,pct0.5-half1to1-60,5,20,-8.4,-1.68,0,0
1000PEPEUSDT,pct0.5-half1to1-600,3,22,-16.9,-5.62,0,0
1000PEPEUSDT,pct0.5-half1to1-7200,3,22,171.7,57.22,0,3
1000PEPEUSDT,pct1-eat50x80-3600,3,22,-23.2,-7.74,3,3
1000PEPEUSDT,pct1-eat50x80-60,6,19,-36.9,-6.14,4,4
1000PEPEUSDT,pct1-eat50x80-600,3,22,-23.2,-7.74,3,3
1000PEPEUSDT,pct1-eat50x80-7200,3,22,-23.2,-7.74,3,3
1000PEPEUSDT,pct1-half1to1-3600,3,22,116.1,38.69,0,0
1000PEPEUSDT,pct1-half1to1-60,5,20,-8.4,-1.68,0,0
1000PEPEUSDT,pct1-half1to1-600,3,22,-16.9,-5.62,0,0
1000PEPEUSDT,pct1-half1to1-7200,3,22,120.3,40.11,0,2
1000PEPEUSDT,pct2-eat50x80-3600,3,22,-23.2,-7.74,3,3
1000PEPEUSDT,pct2-eat50x80-60,6,19,-36.9,-6.14,4,4
1000PEPEUSDT,pct2-eat50x80-600,3,22,-23.2,-7.74,3,3
1000PEPEUSDT,pct2-eat50x80-7200,3,22,-23.2,-7.74,3,3
1000PEPEUSDT,pct2-half1to1-3600,3,22,116.1,38.69,0,0
1000PEPEUSDT,pct2-half1to1-60,5,20,-8.4,-1.68,0,0
1000PEPEUSDT,pct2-half1to1-600,3,22,-16.9,-5.62,0,0
1000PEPEUSDT,pct2-half1to1-7200,3,22,138.9,46.29,0,0
ADAUSDT,pct0.5-eat50x80-3600,4,3,-42.9,-10.72,4,4
ADAUSDT,pct0.5-eat50x80-60,4,3,-27.6,-6.91,2,3
ADAUSDT,pct0.5-eat50x80-600,4,3,-42.9,-10.72,4,4
ADAUSDT,pct0.5-eat50x80-7200,4,3,-42.9,-10.72,4,4
ADAUSDT,pct0.5-half1to1-3600,3,4,-3.3,-1.09,0,2
ADAUSDT,pct0.5-half1to1-60,3,4,-3.6,-1.19,0,0
ADAUSDT,pct0.5-half1to1-600,3,4,-28.4,-9.46,0,0
ADAUSDT,pct0.5-half1to1-7200,3,4,30.1,10.02,0,2
ADAUSDT,pct1-eat50x80-3600,4,3,-42.9,-10.72,4,4
ADAUSDT,pct1-eat50x80-60,4,3,-27.6,-6.91,2,3
ADAUSDT,pct1-eat50x80-600,4,3,-42.9,-10.72,4,4
ADAUSDT,pct1-eat50x80-7200,4,3,-42.9,-10.72,4,4
ADAUSDT,pct1-half1to1-3600,3,4,-101.9,-33.97,0,0
ADAUSDT,pct1-half1to1-60,3,4,-3.6,-1.19,0,0
ADAUSDT,pct1-half1to1-600,3,4,-28.4,-9.46,0,0
ADAUSDT,pct1-half1to1-7200,3,4,0.4,0.12,0,1
ADAUSDT,pct2-eat50x80-3600,4,3,-42.9,-10.72,4,4
ADAUSDT,pct2-eat50x80-60,4,3,-27.6,-6.91,2,3
ADAUSDT,pct2-eat50x80-600,4,3,-42.9,-10.72,4,4
ADAUSDT,pct2-eat50x80-7200,4,3,-42.9,-10.72,4,4
ADAUSDT,pct2-half1to1-3600,3,4,-111.8,-37.26,0,0
ADAUSDT,pct2-half1to1-60,3,4,-3.6,-1.19,0,0
ADAUSDT,pct2-half1to1-600,3,4,-28.4,-9.46,0,0
ADAUSDT,pct2-half1to1-7200,3,4,-72.8,-24.25,0,0
ARBUSDT,pct0.5-eat50x80-3600,1,0,-13.6,-13.56,1,0
ARBUSDT,pct0.5-eat50x80-60,1,0,-13.6,-13.56,1,0
ARBUSDT,pct0.5-eat50x80-600,1,0,-13.6,-13.56,1,0
ARBUSDT,pct0.5-eat50x80-7200,1,0,-13.6,-13.56,1,0
ARBUSDT,pct0.5-half1to1-3600,1,0,-6.3,-6.30,0,1
ARBUSDT,pct0.5-half1to1-60,1,0,6.2,6.23,0,0
ARBUSDT,pct0.5-half1to1-600,1,0,-6.3,-6.30,0,1
ARBUSDT,pct0.5-half1to1-7200,1,0,-6.3,-6.30,0,1
ARBUSDT,pct1-eat50x80-3600,1,0,-13.6,-13.56,1,0
ARBUSDT,pct1-eat50x80-60,1,0,-13.6,-13.56,1,0
ARBUSDT,pct1-eat50x80-600,1,0,-13.6,-13.56,1,0
ARBUSDT,pct1-eat50x80-7200,1,0,-13.6,-13.56,1,0
ARBUSDT,pct1-half1to1-3600,1,0,-6.0,-5.97,0,1
ARBUSDT,pct1-half1to1-60,1,0,6.2,6.23,0,0
ARBUSDT,pct1-half1to1-600,1,0,36.2,36.24,0,1
ARBUSDT,pct1-half1to1-7200,1,0,-6.0,-5.97,0,1
ARBUSDT,pct2-eat50x80-3600,1,0,-13.6,-13.56,1,0
ARBUSDT,pct2-eat50x80-60,1,0,-13.6,-13.56,1,0
ARBUSDT,pct2-eat50x80-600,1,0,-13.6,-13.56,1,0
ARBUSDT,pct2-eat50x80-7200,1,0,-13.6,-13.56,1,0
ARBUSDT,pct2-half1to1-3600,1,0,-208.8,-208.79,0,0
ARBUSDT,pct2-half1to1-60,1,0,6.2,6.23,0,0
ARBUSDT,pct2-half1to1-600,1,0,-22.1,-22.13,0,0
ARBUSDT,pct2-half1to1-7200,1,0,-208.8,-208.79,0,0
ASTRUSDT,pct0.5-eat50x80-3600,1,0,-16.7,-16.70,1,0
ASTRUSDT,pct0.5-eat50x80-60,1,0,-16.7,-16.70,1,0
ASTRUSDT,pct0.5-eat50x80-600,1,0,-16.7,-16.70,1,0
ASTRUSDT,pct0.5-eat50x80-7200,1,0,-16.7,-16.70,1,0
ASTRUSDT,pct0.5-half1to1-3600,1,0,-24.4,-24.37,0,0
ASTRUSDT,pct0.5-half1to1-60,1,0,-25.9,-25.91,0,0
ASTRUSDT,pct0.5-half1to1-600,1,0,-29.0,-28.98,0,0
ASTRUSDT,pct0.5-half1to1-7200,1,0,-55.1,-55.09,0,0
ASTRUSDT,pct1-eat50x80-3600,1,0,-16.7,-16.70,1,0
ASTRUSDT,pct1-eat50x80-60,1,0,-16.7,-16.70,1,0
ASTRUSDT,pct1-eat50x80-600,1,0,-16.7,-16.70,1,0
ASTRUSDT,pct1-eat50x80-7200,1,0,-16.7,-16.70,1,0
