symbol,stop_pct,deadline,mmr_pct,max_leverage,risk_limit_usd,adverse_p99_bps,adverse_n,adverse_source,lev_by_stop_k,lev_by_adverse_p99,leverage,margin_per_10k_usd,liq_distance_pct,funding_abs_mean_bps_8h,funding_abs_max_bps_8h
HYPEUSDT,0.5,3600s,0.67,75.0,5000.0,54.6,1,coin,59.9,82.2,59,169.5,1.02,0.706,1.463
HYPEUSDT,1.0,3600s,0.67,75.0,5000.0,54.6,1,coin,37.5,82.2,37,270.3,2.03,0.706,1.463
HYPEUSDT,2.0,3600s,0.67,75.0,5000.0,54.6,1,coin,21.4,82.2,21,476.2,4.09,0.706,1.463
LSKUSDT,0.5,3600s,2.0,25.0,5000.0,233.0,0,pool,33.3,23.1,23,434.8,2.35,34.567,200.0
LSKUSDT,1.0,3600s,2.0,25.0,5000.0,233.0,0,pool,25.0,23.1,23,434.8,2.35,34.567,200.0
LSKUSDT,2.0,3600s,2.0,25.0,5000.0,233.0,0,pool,16.7,23.1,16,625.0,4.25,34.567,200.0
NEARUSDT,0.5,3600s,0.67,75.0,10000.0,85.6,5,coin,59.9,65.5,59,169.5,1.02,0.898,2.156
NEARUSDT,1.0,3600s,0.67,75.0,10000.0,85.6,5,coin,37.5,65.5,37,270.3,2.03,0.898,2.156
NEARUSDT,2.0,3600s,0.67,75.0,10000.0,85.6,5,coin,21.4,65.5,21,476.2,4.09,0.898,2.156
DOGEUSDT,0.5,3600s,0.75,75.0,250000.0,233.0,0,pool,57.1,32.5,32,312.5,2.38,0.52,1.0
DOGEUSDT,1.0,3600s,0.75,75.0,250000.0,233.0,0,pool,36.4,32.5,32,312.5,2.38,0.52,1.0
DOGEUSDT,2.0,3600s,0.75,75.0,250000.0,233.0,0,pool,21.1,32.5,21,476.2,4.01,0.52,1.0
AKEUSDT,0.5,3600s,2.0,25.0,5000.0,233.0,0,pool,33.3,23.1,23,434.8,2.35,5.01,46.688
AKEUSDT,1.0,3600s,2.0,25.0,5000.0,233.0,0,pool,25.0,23.1,23,434.8,2.35,5.01,46.688
AKEUSDT,2.0,3600s,2.0,25.0,5000.0,233.0,0,pool,16.7,23.1,16,625.0,4.25,5.01,46.688
ENAUSDT,0.5,3600s,1.0,50.0,100000.0,233.0,0,pool,50.0,30.0,30,333.3,2.33,0.498,1.862
ENAUSDT,1.0,3600s,1.0,50.0,100000.0,233.0,0,pool,33.3,30.0,30,333.3,2.33,0.498,1.862
ENAUSDT,2.0,3600s,1.0,50.0,100000.0,233.0,0,pool,20.0,30.0,20,500.0,4.0,0.498,1.862
SUIUSDT,0.5,3600s,1.0,50.0,200000.0,40.7,2,coin,50.0,71.1,50,200.0,1.0,0.733,1.014
SUIUSDT,1.0,3600s,1.0,50.0,200000.0,40.7,2,coin,33.3,71.1,33,303.0,2.03,0.733,1.014
SUIUSDT,2.0,3600s,1.0,50.0,200000.0,40.7,2,coin,20.0,71.1,20,500.0,4.0,0.733,1.014
ADAUSDT,0.5,3600s,0.75,75.0,200000.0,71.7,5,coin,57.1,68.2,57,175.4,1.0,0.73,1.964
ADAUSDT,1.0,3600s,0.75,75.0,200000.0,71.7,5,coin,36.4,68.2,36,277.8,2.03,0.73,1.964
ADAUSDT,2.0,3600s,0.75,75.0,200000.0,71.7,5,coin,21.1,68.2,21,476.2,4.01,0.73,1.964
CAPUSDT,0.5,3600s,5.0,10.0,10000.0,233.0,0,pool,16.7,13.6,10,1000.0,5.0,8.374,134.574
CAPUSDT,1.0,3600s,5.0,10.0,10000.0,233.0,0,pool,14.3,13.6,10,1000.0,5.0,8.374,134.574
CAPUSDT,2.0,3600s,5.0,10.0,10000.0,233.0,0,pool,11.1,13.6,10,1000.0,5.0,8.374,134.574
POWERUSDT,0.5,3600s,2.5,20.0,5000.0,233.0,0,pool,28.6,20.7,20,500.0,2.5,1.041,7.58
POWERUSDT,1.0,3600s,2.5,20.0,5000.0,233.0,0,pool,22.2,20.7,20,500.0,2.5,1.041,7.58
POWERUSDT,2.0,3600s,2.5,20.0,5000.0,233.0,0,pool,15.4,20.7,15,666.7,4.17,1.041,7.58
SPCXUSDT,0.5,3600s,0.7,100.0,10000.0,15.1,3,coin,58.8,117.5,58,172.4,1.02,0.209,4.055
SPCXUSDT,1.0,3600s,0.7,100.0,10000.0,15.1,3,coin,37.0,117.5,37,270.3,2.0,0.209,4.055
SPCXUSDT,2.0,3600s,0.7,100.0,10000.0,15.1,3,coin,21.3,117.5,21,476.2,4.06,0.209,4.055
BNBUSDT,0.5,3600s,0.67,75.0,10000.0,38.6,4,coin,59.9,94.7,59,169.5,1.02,0.752,2.35
BNBUSDT,1.0,3600s,0.67,75.0,10000.0,38.6,4,coin,37.5,94.7,37,270.3,2.03,0.752,2.35
BNBUSDT,2.0,3600s,0.67,75.0,10000.0,38.6,4,coin,21.4,94.7,21,476.2,4.09,0.752,2.35
UNIUSDT,0.5,3600s,0.67,75.0,10000.0,233.0,0,pool,59.9,33.3,33,303.0,2.36,0.811,2.251
UNIUSDT,1.0,3600s,0.67,75.0,10000.0,233.0,0,pool,37.5,33.3,33,303.0,2.36,0.811,2.251
UNIUSDT,2.0,3600s,0.67,75.0,10000.0,233.0,0,pool,21.4,33.3,21,476.2,4.09,0.811,2.251
1000PEPEUSDT,0.5,3600s,1.0,50.0,200000.0,53.2,23,coin,50.0,65.3,50,200.0,1.0,0.846,1.888
1000PEPEUSDT,1.0,3600s,1.0,50.0,200000.0,53.2,23,coin,33.3,65.3,33,303.0,2.03,0.846,1.888
1000PEPEUSDT,2.0,3600s,1.0,50.0,200000.0,53.2,23,coin,20.0,65.3,20,500.0,4.0,0.846,1.888
BRUSDT,0.5,3600s,10.0,5.0,5000.0,233.0,0,pool,9.1,8.1,5,2000.0,10.0,0.621,3.657
BRUSDT,1.0,3600s,10.0,5.0,5000.0,233.0,0,pool,8.3,8.1,5,2000.0,10.0,0.621,3.657
BRUSDT,2.0,3600s,10.0,5.0,5000.0,233.0,0,pool,7.1,8.1,5,2000.0,10.0,0.621,3.657
KORUUSDT,0.5,3600s,1.25,50.0,10000.0,227.3,45,coin,44.4,28.4,28,357.1,2.32,1.036,25.198
KORUUSDT,1.0,3600s,1.25,50.0,10000.0,227.3,45,coin,30.8,28.4,28,357.1,2.32,1.036,25.198
