# числа практиков: DOGEUSDT data\always-on\20260912T201737Z порог H3=118 лотов, шаг цены 0.00001, шаг лота 1; квантили p10/p50/p90 (stats::quantiles, тип 7); расстояние — от середины в момент рождения уровня (T35), не от текущей цены
scope,group,n,size_lots_p10,size_lots_p50,size_lots_p90,size_x_h3_p10,size_x_h3_p50,size_x_h3_p90,size_usd_p10,size_usd_p50,size_usd_p90,distance_bps_p10,distance_bps_p50,distance_bps_p90,distance_before_1s_bps_p10,distance_before_1s_bps_p50,distance_before_1s_bps_p90,distance_before_10s_bps_p10,distance_before_10s_bps_p50,distance_before_10s_bps_p90,lifetime_s_p10,lifetime_s_p50,lifetime_s_p90
касания,"возраст:[0,10m)",986,1129.0,24088.5,99938.0,9.57,204.14,846.93,96,2043,8481,0.59,1.77,2.96,1.77,1.77,5.32,1.76,1.77,8.86,0.00,0.02,15.82
касания,"возраст:[10m,1h)",17,19768.6,126252.0,236450.6,167.53,1069.93,2003.82,1678,10739,20082,0.59,2.95,6.48,2.48,13.54,15.91,2.95,11.19,15.91,0.00,0.00,0.04
касания,все,1003,1126.6,24575.0,104484.0,9.55,208.26,885.46,95,2082,8872,0.59,1.77,3.53,1.77,1.77,6.49,1.76,1.77,10.01,0.00,0.02,15.40
касания,исход:отскочила,139,4601.8,45457.0,131857.4,39.00,385.23,1117.44,390,3865,11184,0.59,1.77,4.12,1.77,1.77,6.48,1.77,2.95,10.05,0.02,6.08,55.41
касания,исход:проели,864,935.0,21370.5,97196.3,7.92,181.11,823.70,79,1817,8228,0.59,1.77,2.96,1.77,1.77,6.49,1.76,1.77,10.01,0.00,0.02,10.21
касания,круглость:0,885,1283.0,25222.0,105149.4,10.87,213.75,891.10,109,2139,8907,0.59,1.77,3.53,1.77,1.77,6.49,1.76,1.77,10.02,0.00,0.02,16.21
касания,круглость:1,111,793.0,20619.0,79762.0,6.72,174.74,675.95,67,1744,6748,0.59,1.77,2.95,1.77,1.77,5.30,1.77,2.95,10.01,0.00,0.04,11.30
касания,круглость:>=2,7,2894.0,74817.0,228408.0,24.53,634.04,1935.66,246,6359,19415,0.59,1.77,6.35,1.29,1.77,10.70,1.76,2.94,10.23,0.00,0.04,3.13
касания,номер:1,961,1094.0,23122.0,101137.0,9.27,195.95,857.09,93,1963,8578,0.59,1.77,2.96,1.77,1.77,6.49,1.76,2.94,10.01,0.00,0.02,14.64
касания,номер:2-3,42,15685.3,57324.0,230292.5,132.93,485.80,1951.63,1328,4851,19494,0.59,1.77,4.13,1.77,1.77,4.00,0.59,1.77,13.33,0.00,0.54,31.62
касания,сторона:ask,506,1006.0,24094.5,99068.0,8.53,204.19,839.56,85,2043,8412,0.59,1.77,2.95,1.77,1.77,6.49,1.77,2.94,10.01,0.00,0.04,14.72
касания,сторона:bid,497,1441.6,24903.0,106884.4,12.22,211.04,905.80,122,2109,9064,0.59,1.77,4.12,1.77,1.77,6.49,0.59,1.77,10.02,0.00,0.02,16.11
касания,"фронтран:(0,0.5)",276,9786.5,44560.0,125857.0,82.94,377.63,1066.58,829,3777,10685,0.59,1.77,2.95,1.77,1.77,2.96,1.76,1.77,4.14,0.00,1.55,31.51
касания,фронтран:0,42,2081.1,52274.5,117612.7,17.64,443.00,996.72,176,4432,10000,0.59,0.59,0.59,0.59,0.59,14.60,0.59,2.36,14.72,0.00,0.06,7.97
касания,"фронтран:[0.5,inf)",685,659.4,19247.0,84854.4,5.59,163.11,719.11,56,1631,7195,0.59,1.77,4.13,1.77,1.77,6.50,1.77,2.94,10.03,0.00,0.00,8.84
смерти,все,17863,35823.2,943220.0,2822548.6,303.59,7993.39,23919.90,3034,80022,239202,0.59,25.36,55.99,—,—,—,—,—,—,0.54,17.66,365.20
смерти,исход:eaten,743,993.0,29716.0,260635.0,8.42,251.83,2208.77,84,2517,22140,0.59,0.59,1.77,—,—,—,—,—,—,0.10,5.04,125.35
смерти,исход:mixed,757,8875.4,86816.0,428387.8,75.22,735.73,3630.41,752,7375,36337,0.59,0.59,2.95,—,—,—,—,—,—,0.67,15.32,225.55
смерти,исход:pulled,16363,50577.2,1040466.0,3020088.2,428.62,8817.51,25593.97,4291,88142,255481,0.59,27.76,57.11,—,—,—,—,—,—,0.58,19.46,383.64
смерти,"размер:[1,2)",18,131.0,202.0,209.2,1.11,1.71,1.77,11,17,18,0.59,0.59,0.59,—,—,—,—,—,—,0.02,0.32,4.64
смерти,"размер:[2,4)",36,261.5,369.0,444.5,2.22,3.13,3.77,22,31,38,0.59,0.59,0.59,—,—,—,—,—,—,0.07,0.45,6.26
смерти,"размер:[4,inf)",17809,36629.2,949836.0,2826495.6,310.42,8049.46,23953.35,3102,80348,239553,0.59,25.36,56.00,—,—,—,—,—,—,0.56,17.96,366.06
смерти,сторона:ask,8952,37454.4,927495.0,2614626.2,317.41,7860.13,22157.85,3190,78799,222273,0.59,24.21,54.97,—,—,—,—,—,—,0.54,15.95,379.05
смерти,сторона:bid,8911,32960.0,968908.0,3013795.0,279.32,8211.08,25540.64,2776,81856,254813,0.59,27.69,56.05,—,—,—,—,—,—,0.56,19.88,357.26
