# числа практиков: SOLUSDT data\always-on\20260912T201737Z порог H3=9 лотов, шаг цены 0.01, шаг лота 0.1; квантили p10/p50/p90 (stats::quantiles, тип 7); расстояние — от середины в момент рождения уровня (T35), не от текущей цены
scope,group,n,size_lots_p10,size_lots_p50,size_lots_p90,size_x_h3_p10,size_x_h3_p50,size_x_h3_p90,size_usd_p10,size_usd_p50,size_usd_p90,distance_bps_p10,distance_bps_p50,distance_bps_p90,lifetime_s_p10,lifetime_s_p50,lifetime_s_p90
касания,"возраст:[0,10m)",1253,159.2,1731.0,4982.6,17.69,192.33,553.62,1620,17620,50734,0.49,1.47,3.44,0.00,0.02,15.01
касания,"возраст:[10m,1h)",18,1577.6,5339.5,10123.5,175.29,593.28,1124.83,16036,54353,103214,1.18,6.40,20.08,0.00,0.00,1.93
касания,все,1271,160.0,1756.0,5108.0,17.78,195.11,567.56,1623,17808,51994,0.49,1.47,3.45,0.00,0.02,14.99
касания,исход:отскочила,213,1061.8,3264.0,6808.4,117.98,362.67,756.49,10830,33130,69154,0.49,1.47,3.44,0.02,2.44,41.15
касания,исход:проели,1058,126.2,1531.5,4593.0,14.02,170.17,510.33,1283,15569,46709,0.49,1.47,3.45,0.00,0.02,9.69
касания,круглость:0,1133,153.0,1731.0,5061.6,17.00,192.33,562.40,1556,17668,51620,0.49,1.47,3.44,0.00,0.02,14.82
касания,круглость:1,128,269.3,1775.5,5474.9,29.92,197.28,608.32,2736,18074,55751,0.49,1.47,4.42,0.00,0.04,28.59
касания,круглость:>=2,10,1896.8,2956.0,5909.3,210.76,328.44,656.59,19347,30151,60275,0.49,1.23,7.65,0.00,0.28,7.67
касания,номер:1,1181,153.0,1724.0,5053.0,17.00,191.56,561.44,1558,17512,51611,0.49,1.47,3.45,0.00,0.02,14.96
касания,номер:2-3,90,371.9,2204.0,5708.9,41.32,244.89,634.32,3778,22391,58077,0.49,1.47,3.44,0.00,0.05,15.82
касания,сторона:ask,660,197.8,1803.0,4954.6,21.98,200.33,550.51,2013,18366,50377,0.49,1.47,3.45,0.00,0.06,16.47
касания,сторона:bid,611,139.0,1709.0,5236.0,15.44,189.89,581.78,1414,17355,53153,0.49,1.47,3.45,0.00,0.02,13.32
касания,"фронтран:(0,0.5)",265,749.0,2424.0,6776.6,83.22,269.33,752.96,7616,24596,68976,0.49,1.48,2.47,0.00,2.13,39.14
касания,фронтран:0,77,463.2,1988.0,4918.0,51.47,220.89,546.44,4712,20260,50118,0.49,0.49,0.49,0.00,0.06,19.84
касания,"фронтран:[0.5,inf)",929,105.8,1556.0,4769.0,11.76,172.89,529.89,1074,15784,48385,0.49,1.47,4.02,0.00,0.02,8.17
смерти,все,15033,1540.8,15409.0,48723.0,171.20,1712.11,5413.67,15659,156859,495229,0.49,34.76,47.81,0.50,32.06,395.37
смерти,исход:eaten,574,67.6,1337.0,13081.9,7.51,148.56,1453.54,690,13636,133276,0.49,0.49,1.48,0.04,2.69,107.50
смерти,исход:mixed,909,1009.2,5944.0,16803.4,112.13,660.44,1867.04,10254,60466,171425,0.49,0.49,2.56,0.23,19.36,200.98
смерти,исход:pulled,13550,1901.7,17975.5,57258.3,211.30,1997.28,6362.03,19335,182647,582727,0.49,34.96,48.46,0.60,36.53,417.64
смерти,"размер:[1,2)",13,11.0,15.0,17.0,1.22,1.67,1.89,112,152,172,0.49,0.49,0.49,0.02,0.18,2.67
смерти,"размер:[2,4)",29,19.8,27.0,33.0,2.20,3.00,3.67,201,274,335,0.49,0.49,1.48,0.02,0.12,1.07
смерти,"размер:[4,inf)",14991,1587.0,15484.0,48877.0,176.33,1720.44,5430.78,16103,157540,496432,0.49,34.77,47.81,0.53,32.36,396.19
смерти,сторона:ask,7672,1497.1,15046.5,48192.9,166.34,1671.83,5354.77,15271,153109,490348,0.49,34.78,48.39,0.52,26.79,396.48
смерти,сторона:bid,7361,1595.0,15818.0,49196.0,177.22,1757.56,5466.22,16172,160512,498737,0.49,34.00,47.75,0.48,38.24,393.68
