# числа практиков: ZECUSDT data\always-on\20260912T201737Z порог H3=4 лотов, шаг цены 0.01, шаг лота 0.01; квантили p10/p50/p90 (stats::quantiles, тип 7); расстояние — от середины в момент рождения уровня (T35), не от текущей цены
scope,group,n,size_lots_p10,size_lots_p50,size_lots_p90,size_x_h3_p10,size_x_h3_p50,size_x_h3_p90,size_usd_p10,size_usd_p50,size_usd_p90,distance_bps_p10,distance_bps_p50,distance_bps_p90,distance_before_1s_bps_p10,distance_before_1s_bps_p50,distance_before_1s_bps_p90,distance_before_10s_bps_p10,distance_before_10s_bps_p50,distance_before_10s_bps_p90,lifetime_s_p10,lifetime_s_p50,lifetime_s_p90
касания,"возраст:[0,10m)",5271,2.0,39.0,207.0,0.50,9.75,51.75,22,439,2329,0.13,0.93,3.96,0.22,1.20,4.69,0.49,2.80,10.93,0.00,0.06,3.44
касания,все,5271,2.0,39.0,207.0,0.50,9.75,51.75,22,439,2329,0.13,0.93,3.96,0.22,1.20,4.69,0.49,2.80,10.93,0.00,0.06,3.44
касания,исход:отскочила,1030,13.0,86.0,336.4,3.25,21.50,84.10,146,966,3802,0.13,1.02,4.46,0.22,1.47,5.93,0.49,3.25,12.24,0.02,0.50,6.76
касания,исход:проели,4241,1.0,28.0,163.0,0.25,7.00,40.75,11,315,1831,0.13,0.93,3.80,0.22,1.20,4.41,0.40,2.71,10.58,0.00,0.05,2.44
касания,круглость:0,4514,2.0,40.0,205.0,0.50,10.00,51.25,22,450,2301,0.13,0.93,3.75,0.22,1.20,4.77,0.40,2.80,11.01,0.00,0.06,3.38
касания,круглость:1,633,1.0,32.0,209.8,0.25,8.00,52.45,11,362,2366,0.13,1.11,4.49,0.22,1.29,3.97,0.58,2.97,8.92,0.00,0.06,3.66
касания,круглость:>=2,124,1.0,28.5,228.1,0.25,7.12,57.03,11,319,2568,0.25,1.29,5.73,0.43,1.83,6.87,0.58,3.14,13.34,0.00,0.06,3.84
касания,номер:1,5146,2.0,38.0,199.0,0.50,9.50,49.75,22,426,2237,0.13,0.93,3.96,0.22,1.28,4.68,0.49,2.81,10.88,0.00,0.06,3.38
касания,номер:2-3,125,8.4,92.0,557.6,2.10,23.00,139.40,95,1031,6258,0.08,1.02,3.73,0.13,0.93,5.27,0.17,2.09,11.27,0.00,0.16,6.98
касания,сторона:ask,2634,2.0,44.0,204.7,0.50,11.00,51.18,22,494,2301,0.13,0.96,4.05,0.22,1.29,4.58,0.49,2.81,10.48,0.00,0.08,3.69
касания,сторона:bid,2637,2.0,33.0,209.4,0.50,8.25,52.35,22,373,2355,0.13,0.85,3.94,0.22,1.20,4.83,0.40,2.80,11.32,0.00,0.06,3.08
касания,"фронтран:(0,0.5)",770,14.0,76.0,527.0,3.50,19.00,131.75,157,853,5930,0.13,0.58,2.63,0.13,0.93,3.24,0.40,2.63,7.67,0.02,0.36,6.20
касания,фронтран:0,265,2.0,81.0,331.4,0.50,20.25,82.85,22,915,3720,0.04,0.04,0.36,0.04,0.93,6.21,0.40,2.99,12.70,0.00,0.06,3.10
касания,"фронтран:[0.5,inf)",4236,1.0,29.0,162.5,0.25,7.25,40.62,11,325,1825,0.22,1.11,4.23,0.31,1.37,4.76,0.49,2.81,11.43,0.00,0.06,3.16
смерти,все,744122,21.0,71.0,1880.0,5.25,17.75,470.00,236,799,21118,0.67,4.22,6.47,—,—,—,—,—,—,0.02,0.34,6.56
смерти,исход:eaten,12589,12.0,52.0,384.0,3.00,13.00,96.00,134,585,4310,0.04,1.12,5.19,—,—,—,—,—,—,0.02,0.92,9.26
смерти,исход:mixed,6446,30.0,126.0,451.0,7.50,31.50,112.75,337,1414,5070,0.04,0.94,5.23,—,—,—,—,—,—,0.14,3.38,18.03
смерти,исход:pulled,725087,21.0,71.0,1891.0,5.25,17.75,472.75,237,798,21244,0.76,4.31,6.50,—,—,—,—,—,—,0.02,0.33,6.38
смерти,"размер:[1,2)",7352,5.0,6.0,7.0,1.25,1.50,1.75,56,67,79,0.67,4.85,6.84,—,—,—,—,—,—,0.02,0.40,6.01
смерти,"размер:[2,4)",26777,9.0,12.0,15.0,2.25,3.00,3.75,101,136,169,0.40,2.97,6.73,—,—,—,—,—,—,0.02,0.26,4.13
смерти,"размер:[4,inf)",709993,24.0,77.0,1902.0,6.00,19.25,475.50,270,866,21350,0.75,4.23,6.46,—,—,—,—,—,—,0.02,0.35,6.66
смерти,сторона:ask,281213,19.0,67.0,1478.0,4.75,16.75,369.50,214,752,16627,0.58,4.21,6.52,—,—,—,—,—,—,0.02,0.64,8.68
смерти,сторона:bid,462909,22.0,74.0,1903.0,5.50,18.50,475.75,248,834,21367,0.76,4.23,6.46,—,—,—,—,—,—,0.02,0.24,5.12
