# threshold-study: ADV_PP=10.0 NMIN=30 coins=94 touches from `lob touches --h3-mode floor` (k=1.0), outcome=ended_by_death, strength window 20 bps
symbol,touches_per_day,base_bounce_pct,median_notional_usd,p90_notional_usd,N_star_usd,S_star_pct,n_ge_1k,bounce_ge_1k,m60_ge_1k,n_ge_10k,bounce_ge_10k,m60_ge_10k,n_ge_100k,bounce_ge_100k,m60_ge_100k,n_ge_1000k,bounce_ge_1000k,m60_ge_1000k,n_s100,bounce_s100,n_s200,bounce_s200,n_s300,bounce_s300,n_s500,bounce_s500,n_s1000,bounce_s1000,n_both_1k_s100,bounce_both_1k_s100,n_both_1k_s200,bounce_both_1k_s200,n_both_1k_s300,bounce_both_1k_s300,n_both_1k_s500,bounce_both_1k_s500,n_both_1k_s1000,bounce_both_1k_s1000,n_both_10k_s100,bounce_both_10k_s100,n_both_10k_s200,bounce_both_10k_s200,n_both_10k_s300,bounce_both_10k_s300,n_both_10k_s500,bounce_both_10k_s500,n_both_10k_s1000,bounce_both_10k_s1000,n_both_100k_s100,bounce_both_100k_s100,n_both_100k_s200,bounce_both_100k_s200,n_both_100k_s300,bounce_both_100k_s300,n_both_100k_s500,bounce_both_100k_s500,n_both_100k_s1000,bounce_both_100k_s1000,n_both_1000k_s100,bounce_both_1000k_s100,n_both_1000k_s200,bounce_both_1000k_s200,n_both_1000k_s300,bounce_both_1000k_s300,n_both_1000k_s500,bounce_both_1000k_s500,n_both_1000k_s1000,bounce_both_1000k_s1000
1000BONKUSDT,14856,28.7,1182,4477,1000,100,8146.0,40.4,-0.17,89.5,46.9,0.25,0.0,,,0.0,,,84.0,43.5,4.0,50.0,2.0,25.0,1.5,33.3,0.0,,84.0,43.5,4.0,50.0,2.0,25.0,1.5,33.3,0.0,,33.5,53.7,4.0,50.0,2.0,25.0,1.5,33.3,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1000PEPEUSDT,21328,24.2,6985,20038,10000,100,18704.5,27.4,-0.01,7231.0,35.9,0.21,10.0,50.0,-0.66,0.0,,,112.5,44.9,14.5,62.1,3.0,66.7,0.5,0.0,0.0,,112.5,44.9,14.5,62.1,3.0,66.7,0.5,0.0,0.0,,112.5,44.9,14.5,62.1,3.0,66.7,0.5,0.0,0.0,,10.0,50.0,9.0,55.6,0.5,0.0,0.5,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
AAVEUSDT,40625,10.6,24,626,1000,100,2604.0,20.9,-0.91,356.0,22.6,-0.98,1.5,66.7,-8.62,0.0,,,644.5,21.6,235.5,22.5,78.5,27.4,14.0,50.0,4.0,62.5,644.5,21.6,235.5,22.5,78.5,27.4,14.0,50.0,4.0,62.5,336.5,22.7,173.0,23.7,64.5,29.5,14.0,50.0,4.0,62.5,1.5,66.7,1.5,66.7,1.5,66.7,1.5,66.7,1.5,66.7,0.0,,0.0,,0.0,,0.0,,0.0,
ACEUSDT,21695,53.6,33,104,1000,300,215.0,70.5,-2.64,0.5,0.0,-6.2,0.0,,,0.0,,,5373.5,60.6,1896.5,62.9,1273.5,64.7,838.5,65.7,439.0,67.0,215.0,70.5,213.5,70.5,207.0,70.8,205.0,70.7,197.0,70.6,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
ADAUSDT,9060,44.7,44411,74039,,,9044.5,44.8,0.7,8974.0,45.1,0.71,141.5,53.0,0.2,0.0,,,674.5,52.4,20.0,52.5,0.5,100.0,0.0,,0.0,,674.5,52.4,20.0,52.5,0.5,100.0,0.0,,0.0,,674.5,52.4,20.0,52.5,0.5,100.0,0.0,,0.0,,109.0,53.2,7.5,60.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
AEROUSDT,29739,27.7,157,850,1000,100,2391.5,48.5,-0.13,19.5,76.9,-1.58,0.0,,,0.0,,,607.0,56.4,158.5,64.4,62.5,65.6,16.0,62.5,5.5,72.7,601.5,56.6,158.5,64.4,62.5,65.6,16.0,62.5,5.5,72.7,18.0,75.0,17.5,77.1,14.0,75.0,9.5,68.4,5.5,72.7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
APTUSDT,35441,17.4,223,1590,1000,100,6750.5,33.7,0.21,23.0,54.3,-1.21,0.0,,,0.0,,,121.5,42.4,18.0,47.2,9.0,33.3,6.0,41.7,1.0,50.0,121.0,42.6,18.0,47.2,9.0,33.3,6.0,41.7,1.0,50.0,21.5,55.8,13.5,40.7,9.0,33.3,6.0,41.7,1.0,50.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
ARBUSDT,131962,22.4,18,311,1000,100,3307.0,44.9,-0.5,177.0,51.1,-2.18,6.0,83.3,3.23,0.0,,,1203.5,46.2,461.5,45.4,284.0,45.6,150.0,48.3,71.5,53.1,1141.5,46.5,458.0,45.6,282.5,45.8,149.0,48.7,71.0,53.5,172.5,50.1,163.0,48.2,158.5,49.2,123.5,49.8,70.5,53.9,6.0,83.3,6.0,83.3,6.0,83.3,6.0,83.3,6.0,83.3,0.0,,0.0,,0.0,,0.0,,0.0,
ARKUSDT,42492,36.3,10,48,1000,300,189.0,57.9,2.33,0.5,100.0,-52.52,0.0,,,0.0,,,2449.0,42.7,1171.5,45.4,729.0,48.5,434.0,52.6,222.5,55.5,189.0,57.9,189.0,57.9,187.0,57.8,185.5,57.7,163.0,56.1,0.5,100.0,0.5,100.0,0.5,100.0,0.5,100.0,0.5,100.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
ASTERUSDT,22540,28.7,258,1281,1000,100,4170.0,58.9,0.37,80.5,63.4,-1.81,0.0,,,0.0,,,2779.0,58.4,517.0,59.9,229.0,60.5,104.0,61.1,46.5,62.4,2298.0,61.4,427.0,63.1,191.0,63.4,91.0,62.6,45.5,62.6,80.5,63.4,73.0,61.6,69.5,61.2,63.5,61.4,41.5,62.7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
ASTRUSDT,24454,52.4,32,136,,100,184.5,58.3,5.2,5.0,90.0,49.46,0.0,,,0.0,,,3772.5,62.6,1540.0,63.6,911.5,62.5,495.0,59.7,204.0,58.1,183.0,58.2,178.5,58.5,168.0,58.0,154.0,56.5,124.0,59.7,5.0,90.0,4.5,88.9,4.5,88.9,4.5,88.9,4.5,88.9,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
ATOMUSDT,5046,39.3,10295,17933,10000,100,4822.0,41.1,0.58,2629.5,52.7,0.53,0.5,100.0,13.33,0.0,,,237.5,55.8,7.5,66.7,0.5,100.0,0.5,100.0,0.5,100.0,237.5,55.8,7.5,66.7,0.5,100.0,0.5,100.0,0.5,100.0,230.0,56.3,7.5,66.7,0.5,100.0,0.5,100.0,0.5,100.0,0.5,100.0,0.5,100.0,0.5,100.0,0.5,100.0,0.5,100.0,0.0,,0.0,,0.0,,0.0,,0.0,
AVAXUSDT,19816,12.8,480,2589,1000,100,7225.0,23.0,-0.54,148.0,26.0,-0.3,0.0,,,0.0,,,29.0,34.5,11.0,36.4,5.5,45.5,3.0,50.0,0.0,,29.0,34.5,11.0,36.4,5.5,45.5,3.0,50.0,0.0,,27.5,32.7,11.0,36.4,5.5,45.5,3.0,50.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
AXLUSDT,9578,49.3,59,199,,,46.0,44.6,-0.75,0.0,,,0.0,,,0.0,,,1284.0,58.2,306.0,56.5,163.0,50.0,85.0,47.6,33.0,42.4,46.0,44.6,45.5,44.0,45.5,44.0,40.5,44.4,28.5,43.9,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
BCHUSDT,11306,40.2,6254,16259,10000,200,10718.5,42.3,0.77,3052.5,57.0,0.51,2.0,75.0,-1.16,0.0,,,179.0,39.4,18.0,75.0,9.0,83.3,3.5,57.1,0.5,100.0,179.0,39.4,18.0,75.0,9.0,83.3,3.5,57.1,0.5,100.0,173.5,39.2,17.5,77.1,8.5,88.2,3.0,66.7,0.5,100.0,2.0,75.0,2.0,75.0,2.0,75.0,1.5,66.7,0.5,100.0,0.0,,0.0,,0.0,,0.0,,0.0,
BNBUSDT,8500,8.4,2914,16377,10000,100,5272.0,12.3,-0.65,1649.5,20.2,-0.52,10.0,30.0,-3.04,0.0,,,52.0,27.9,10.0,40.0,3.0,0.0,0.0,,0.0,,52.0,27.9,10.0,40.0,3.0,0.0,0.0,,0.0,,52.0,27.9,10.0,40.0,3.0,0.0,0.0,,0.0,,10.0,30.0,8.5,35.3,3.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
BZUSDT,38912,47.7,798,9096,100000,1000,17409.5,53.9,0.14,2746.0,39.0,0.32,45.5,87.9,2.25,5.0,100.0,-0.2,2487.5,36.1,741.5,37.2,390.5,38.9,209.5,43.0,81.5,60.1,2487.5,36.1,741.5,37.2,390.5,38.9,209.5,43.0,81.5,60.1,1743.0,38.6,640.5,39.0,382.0,39.3,208.0,43.0,81.5,60.1,45.5,87.9,45.5,87.9,45.5,87.9,45.5,87.9,42.5,89.4,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0,5.0,100.0
CAPUSDT,56991,46.0,86,314,1000,100,935.0,69.7,2.88,0.0,,,0.0,,,0.0,,,9435.5,60.9,3213.0,63.0,1691.0,64.1,873.5,64.7,362.0,63.8,932.5,69.7,920.0,69.8,852.0,68.8,668.0,67.4,342.5,64.4,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
CASHCATUSDT,84212,55.8,45,250,1000,200,840.0,73.1,-2.31,91.0,85.7,9.06,1.5,66.7,-59.42,0.0,,,22257.5,62.9,12248.0,66.0,8136.0,68.8,4704.0,70.8,1578.5,71.0,835.0,73.0,829.5,73.1,813.5,73.4,764.0,73.2,628.0,73.6,91.0,85.7,91.0,85.7,91.0,85.7,91.0,85.7,88.5,85.9,1.5,66.7,1.5,66.7,1.5,66.7,1.5,66.7,1.5,66.7,0.0,,0.0,,0.0,,0.0,,0.0,
COINUSDT,46513,59.5,124,300,,,731.0,51.6,-1.09,43.0,62.8,0.37,3.5,85.7,-51.17,0.0,,,797.5,52.2,357.5,49.8,207.0,51.0,94.5,54.0,40.0,58.8,547.5,53.1,285.0,51.6,174.5,52.7,84.5,56.8,40.0,58.8,43.0,62.8,43.0,62.8,42.0,61.9,39.5,63.3,25.0,68.0,3.5,85.7,3.5,85.7,3.5,85.7,3.5,85.7,3.5,85.7,0.0,,0.0,,0.0,,0.0,,0.0,
CRCLUSDT,59628,31.6,394,1581,10000,100,12668.0,40.1,-0.35,214.5,83.4,1.65,15.5,96.8,0.77,0.0,,,817.5,54.6,229.5,75.8,109.5,77.6,79.0,86.1,31.0,83.9,813.0,54.6,227.5,76.3,108.0,78.2,79.0,86.1,31.0,83.9,211.0,83.9,174.0,86.2,97.0,83.5,77.5,87.7,31.0,83.9,15.5,96.8,15.5,96.8,15.5,96.8,15.5,96.8,15.0,96.7,0.0,,0.0,,0.0,,0.0,,0.0,
CRVUSDT,24448,22.9,359,2095,1000,100,5458.5,33.0,-0.71,65.0,65.4,-1.47,0.0,,,0.0,,,293.0,46.4,54.5,58.7,15.5,48.4,6.0,50.0,2.0,50.0,292.0,46.2,54.5,58.7,15.5,48.4,6.0,50.0,2.0,50.0,61.5,65.0,36.0,63.9,13.5,55.6,6.0,50.0,2.0,50.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
CVCUSDT,29508,33.1,94,386,1000,100,746.0,50.3,-0.25,6.0,50.0,28.51,0.0,,,0.0,,,2347.0,51.1,794.5,52.5,473.5,51.1,263.0,47.7,117.0,44.4,618.0,49.2,377.0,51.6,297.0,50.0,206.5,48.4,111.0,45.9,6.0,50.0,6.0,50.0,5.0,40.0,5.0,40.0,3.5,42.9,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
CYSUSDT,10833,45.4,87,293,1000,100,106.5,72.8,-1.91,1.5,66.7,-63.65,0.0,,,0.0,,,880.0,57.8,394.0,56.1,207.0,57.7,78.5,63.1,23.0,63.0,106.0,72.6,97.5,70.8,80.5,70.2,50.0,70.0,18.0,66.7,1.5,66.7,1.5,66.7,1.5,66.7,1.5,66.7,1.5,66.7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
DASHUSDT,80980,23.7,88,885,1000,100,6837.5,41.2,-0.48,100.5,59.2,-2.7,0.5,0.0,-68.03,0.0,,,704.0,52.8,159.0,57.5,56.5,55.8,29.0,55.2,9.5,57.9,701.0,52.9,158.0,57.3,55.5,55.0,29.0,55.2,9.5,57.9,99.5,59.3,76.0,60.5,42.5,58.8,27.5,56.4,9.5,57.9,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
DELLUSDT,22803,49.6,103,272,10000,1000,593.5,32.9,2.45,36.0,79.2,1.95,0.0,,,0.0,,,818.5,35.2,510.0,34.6,409.5,35.5,342.5,35.5,76.0,62.5,584.0,33.0,482.0,35.1,398.5,36.0,339.5,35.6,75.5,62.9,36.0,79.2,35.5,80.3,35.5,80.3,35.5,80.3,35.5,80.3,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
DOGEUSDT,17592,10.7,1894,8662,10000,100,10232.5,15.7,-0.66,1385.5,22.4,-0.31,16.0,53.1,-0.8,0.0,,,56.0,44.6,18.0,47.2,12.0,50.0,5.5,54.5,1.5,33.3,56.0,44.6,18.0,47.2,12.0,50.0,5.5,54.5,1.5,33.3,56.0,44.6,18.0,47.2,12.0,50.0,5.5,54.5,1.5,33.3,16.0,53.1,14.0,53.6,11.5,52.2,5.5,54.5,1.5,33.3,0.0,,0.0,,0.0,,0.0,,0.0,
DOTUSDT,50914,23.5,65,716,1000,100,3185.0,39.5,-0.32,53.0,57.5,-5.87,0.0,,,0.0,,,299.5,48.9,86.5,54.3,50.5,56.4,17.5,48.6,5.0,80.0,298.0,49.2,86.5,54.3,50.5,56.4,17.5,48.6,5.0,80.0,53.0,57.5,49.5,58.6,40.0,60.0,17.0,50.0,5.0,80.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
DRAMUSDT,29894,46.3,11418,29956,10000,100,27030.0,50.6,0.05,15779.0,60.7,-0.14,22.0,81.8,11.55,0.0,,,7428.0,61.3,520.0,57.7,57.5,61.7,17.5,74.3,0.0,,7428.0,61.3,520.0,57.7,57.5,61.7,17.5,74.3,0.0,,7427.0,61.3,519.5,57.7,57.5,61.7,17.5,74.3,0.0,,22.0,81.8,22.0,81.8,22.0,81.8,15.5,77.4,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
ENAUSDT,73444,14.5,18,758,1000,100,5453.5,30.8,-1.23,150.0,38.3,-0.14,2.0,50.0,9.42,0.0,,,1234.0,27.1,387.5,31.7,106.5,39.9,31.0,40.3,9.5,42.1,1234.0,27.1,387.5,31.7,106.5,39.9,31.0,40.3,9.5,42.1,149.5,38.5,117.0,42.3,64.0,44.5,30.0,38.3,9.5,42.1,2.0,50.0,2.0,50.0,2.0,50.0,2.0,50.0,1.5,33.3,0.0,,0.0,,0.0,,0.0,,0.0,
ETHFIUSDT,33316,24.7,54,426,1000,100,805.5,57.1,-0.09,27.0,66.7,-5.61,5.0,80.0,-37.58,0.0,,,1447.5,52.8,501.0,60.0,307.0,60.9,146.5,65.5,46.5,60.2,720.0,57.9,444.0,62.4,295.0,61.9,146.0,65.8,46.5,60.2,27.0,66.7,26.5,67.9,25.5,66.7,25.5,66.7,24.5,65.3,5.0,80.0,5.0,80.0,5.0,80.0,5.0,80.0,5.0,80.0,0.0,,0.0,,0.0,,0.0,,0.0,
