set,история_n,история_net,история_control,история_excess,история_days_pos,история_days,история_usd,история_verdict,запись_n,запись_net,запись_control,запись_excess,запись_days_pos,запись_days,запись_usd,запись_verdict,holds
t-ask-age-120,96,-8.0748,-10.5642,2.4894,7,15,-77.51808,мало данных,39,-21.4989,-25.6504,4.1515,3,6,-83.84571,мало данных,да
t-ask-age-15,2261,1.6471,-2.4329,4.08,12,15,372.40931,красный,891,-26.1544,-28.3278,2.1735,3,7,-2330.35704,красный,нет
t-ask-age-30,1045,-0.2347,-4.2024,3.9678,10,15,-24.526149999999998,красный,374,-28.0123,-28.0381,0.0258,4,7,-1047.66002,красный,да
t-ask-age-45,548,-1.5308,-5.2187,3.6878,10,15,-83.88784,красный,197,-25.5223,-27.8761,2.3538,3,7,-502.78931,красный,да
t-ask-age-60,345,-1.4705,-6.8578,5.3872,10,15,-50.73225,красный,129,-26.3466,-27.011,0.6644,3,7,-339.87113999999997,красный,да
t-ask-age-90,166,-0.4044,-8.9238,8.5194,12,15,-6.7130399999999995,красный,62,-14.246,-24.2348,9.9888,5,7,-88.32520000000001,мало данных,да
t-ask-btc1h-q1,76,-15.718,-6.4762,-9.2418,5,15,-119.4568,мало данных,30,-20.8013,-24.1404,3.3392,4,7,-62.4039,мало данных,да
t-ask-btc1h-q2,153,-7.6686,-10.9188,3.2502,10,15,-117.32957999999999,красный,62,0.2696,-21.2123,21.4819,6,7,1.67152,мало данных,нет
t-ask-btc1h-q3,206,1.5836,-5.3699,6.9535,9,14,32.622159999999994,красный,57,-19.0704,-21.8073,2.7369,3,7,-108.70128,мало данных,нет
t-ask-btc1h-q4,222,-5.1562,-3.9806,-1.1756,9,15,-114.46764,красный,59,-18.3741,-34.9823,16.6082,6,7,-108.40718999999999,мало данных,да
t-ask-btc1h-q5,182,11.7613,-5.624,17.3853,9,15,214.05566,красный,83,-36.0114,-33.2398,-2.7716,3,7,-298.89462000000003,мало данных,нет
t-ask-btc4h-q1,87,0.874,11.3867,-10.5126,6,12,7.6038,мало данных,12,21.6597,-14.0395,35.6992,5,5,25.99164,мало данных,нет
t-ask-btc4h-q2,136,-20.0887,-6.5468,-13.5419,6,15,-273.20632,красный,41,-4.8802,-21.06,16.1799,5,7,-20.00882,мало данных,да
t-ask-btc4h-q3,178,-6.7699,-7.4284,0.6585,9,15,-120.50421999999999,красный,52,-23.238,-22.7838,-0.4542,3,5,-120.8376,мало данных,да
