symbol,side,days,approaches,max_age_min,age_ge_15m,age_ge_30m,age_ge_45m,age_ge_60m,age_ge_90m,age_ge_120m,age45_usd_ge_10k,age45_usd_ge_25k,age45_usd_ge_50k,age45_usd_ge_100k
1000BONKUSDT,bid,23,59444,66,226,31,8,1,0,0,8,1,0,0
1000BONKUSDT,ask,23,55062,154,252,38,11,3,1,1,11,2,2,1
1000PEPEUSDT,bid,23,397170,97,990,149,29,11,3,0,29,29,23,4
1000PEPEUSDT,ask,23,405213,184,955,126,30,16,7,2,30,30,24,7
AAVEUSDT,bid,23,920251,31,17,1,0,0,0,0,0,0,0,0
AAVEUSDT,ask,23,863017,27,27,0,0,0,0,0,0,0,0,0
ACEUSDT,bid,21,151,0,0,0,0,0,0,0,0,0,0,0
ACEUSDT,ask,21,127,0,0,0,0,0,0,0,0,0,0,0
ADAUSDT,bid,23,104641,226,1511,383,160,89,24,10,160,160,156,61
ADAUSDT,ask,23,106063,285,1347,329,141,87,29,20,141,141,139,75
AEROUSDT,bid,23,4990,312,80,22,12,7,5,4,12,3,2,2
AEROUSDT,ask,23,2207,77,53,19,5,2,0,0,5,2,1,1
AKEUSDT,bid,15,1156,1,0,0,0,0,0,0,0,0,0,0
AKEUSDT,ask,15,1257,3,0,0,0,0,0,0,0,0,0,0
APTUSDT,bid,23,86143,83,179,21,6,3,0,0,6,4,1,0
APTUSDT,ask,23,74123,82,194,12,8,3,0,0,8,5,1,1
ARBUSDT,bid,22,93711,9,0,0,0,0,0,0,0,0,0,0
ARBUSDT,ask,22,81004,8,0,0,0,0,0,0,0,0,0,0
ARKUSDT,bid,22,103,0,0,0,0,0,0,0,0,0,0,0
ARKUSDT,ask,22,161,0,0,0,0,0,0,0,0,0,0,0
ASTERUSDT,bid,23,4026,60,37,18,6,1,0,0,6,1,1,0
ASTERUSDT,ask,23,4024,84,43,22,10,5,0,0,10,1,0,0
ASTRUSDT,bid,23,305,6,0,0,0,0,0,0,0,0,0,0
ASTRUSDT,ask,23,49,12,0,0,0,0,0,0,0,0,0,0
ATOMUSDT,bid,23,61106,479,3622,1705,1031,643,247,120,1031,71,9,6
ATOMUSDT,ask,23,61554,253,3927,1879,948,557,208,72,948,144,0,0
AVAAIUSDT,bid,19,25,2,0,0,0,0,0,0,0,0,0,0
AVAAIUSDT,ask,19,18,1,0,0,0,0,0,0,0,0,0,0
AVAXUSDT,bid,23,371575,139,414,67,19,4,1,1,19,6,1,0
AVAXUSDT,ask,23,367529,79,488,95,24,3,0,0,24,4,1,0
AXLUSDT,bid,23,66,0,0,0,0,0,0,0,0,0,0,0
AXLUSDT,ask,23,92,0,0,0,0,0,0,0,0,0,0,0
BCHUSDT,bid,23,146835,120,449,58,19,7,1,1,19,15,3,1
BCHUSDT,ask,23,145909,120,410,71,14,4,1,1,14,11,5,3
BNBUSDT,bid,23,215173,392,2405,842,382,206,65,23,382,344,109,17
BNBUSDT,ask,23,223926,197,2328,755,353,192,50,19,353,338,169,33
BRUSDT,bid,15,108,1,0,0,0,0,0,0,0,0,0,0
BRUSDT,ask,15,165,0,0,0,0,0,0,0,0,0,0,0
BTWUSDT,bid,15,2314,1,0,0,0,0,0,0,0,0,0,0
BTWUSDT,ask,15,1808,4,0,0,0,0,0,0,0,0,0,0
BZUSDT,bid,23,1294941,90,34,7,4,1,1,0,4,3,3,1
BZUSDT,ask,23,1248357,327,93,44,24,17,9,6,24,15,7,1
CAPUSDT,bid,23,211,21,1,0,0,0,0,0,0,0,0,0
CAPUSDT,ask,23,193,5,0,0,0,0,0,0,0,0,0,0
CASHCATUSDT,bid,22,1366,3,0,0,0,0,0,0,0,0,0,0
CASHCATUSDT,ask,22,1325,3,0,0,0,0,0,0,0,0,0,0
COINUSDT,bid,23,177284,78,19,11,6,2,0,0,6,0,0,0
COINUSDT,ask,23,177926,61,3,1,1,1,0,0,1,1,0,0
CRCLUSDT,bid,23,520977,125,38,18,8,4,2,1,8,4,1,0
CRCLUSDT,ask,23,504844,48,13,5,1,0,0,0,1,0,0,0
CRVUSDT,bid,23,49979,115,358,45,16,5,2,0,16,10,2,0
CRVUSDT,ask,23,43262,64,282,48,4,1,0,0,4,0,0,0
CVCUSDT,bid,23,247,4,0,0,0,0,0,0,0,0,0,0
CVCUSDT,ask,23,237,2,0,0,0,0,0,0,0,0,0,0
CYSUSDT,bid,23,118,161,7,3,2,2,2,2,2,0,0,0
CYSUSDT,ask,23,141,11,0,0,0,0,0,0,0,0,0,0
DASHUSDT,bid,23,76381,126,231,20,6,2,1,1,6,0,0,0
DASHUSDT,ask,23,74223,76,302,31,6,2,0,0,6,0,0,0
DELLUSDT,bid,23,1894,62,3,1,1,1,0,0,1,0,0,0
DELLUSDT,ask,23,1589,10,0,0,0,0,0,0,0,0,0,0
DOGEUSDT,bid,23,799540,81,43,15,6,2,0,0,6,6,6,6
DOGEUSDT,ask,23,805435,215,45,13,4,4,1,1,4,4,4,4
DOTUSDT,bid,23,183181,49,171,17,1,0,0,0,1,0,0,0
DOTUSDT,ask,23,154709,40,161,6,0,0,0,0,0,0,0,0
DRAMUSDT,bid,23,1085601,323,885,307,144,92,24,11,144,69,25,1
DRAMUSDT,ask,23,1351227,439,1048,437,220,123,57,33,220,51,11,0
ENAUSDT,bid,23,1065187,13,0,0,0,0,0,0,0,0,0,0
ENAUSDT,ask,23,1060106,12,0,0,0,0,0,0,0,0,0,0
ETHFIUSDT,bid,23,2114,52,15,5,2,0,0,0,2,1,0,0
ETHFIUSDT,ask,23,2663,37,9,1,0,0,0,0,0,0,0,0
EWYUSDT,bid,23,899561,75,22,5,3,1,0,0,3,0,0,0
EWYUSDT,ask,23,813662,73,33,8,3,1,0,0,3,0,0,0
FARTCOINUSDT,bid,23,17578,12,0,0,0,0,0,0,0,0,0,0
FARTCOINUSDT,ask,23,30230,19,1,0,0,0,0,0,0,0,0,0
FFUSDT,bid,22,2547,8,0,0,0,0,0,0,0,0,0,0
FFUSDT,ask,22,2265,18,1,0,0,0,0,0,0,0,0,0
FILUSDT,bid,23,29555,59,35,3,1,0,0,0,1,1,1,0
FILUSDT,ask,23,34544,54,46,10,3,0,0,0,3,0,0,0
FLOCKUSDT,bid,23,531,23,2,0,0,0,0,0,0,0,0,0
FLOCKUSDT,ask,23,527,29,3,0,0,0,0,0,0,0,0,0
GOOGLUSDT,bid,23,573119,9,0,0,0,0,0,0,0,0,0,0
GOOGLUSDT,ask,23,497440,11,0,0,0,0,0,0,0,0,0,0
HBARUSDT,bid,23,165389,81,590,103,24,7,0,0,24,1,0,0
HBARUSDT,ask,23,159537,102,588,87,25,6,1,0,25,1,0,0
HIVEUSDT,bid,23,189,30,1,1,0,0,0,0,0,0,0,0
HIVEUSDT,ask,23,36,63,2,1,1,1,0,0,1,0,0,0
HYPEUSDT,bid,23,798968,101,262,20,7,4,2,0,7,7,7,7
HYPEUSDT,ask,23,756086,100,1210,167,50,15,4,0,50,50,45,27
ICPUSDT,bid,23,43959,219,642,99,31,14,6,3,31,10,1,1
ICPUSDT,ask,23,40339,157,523,101,28,13,3,3,28,8,5,0
INJUSDT,bid,23,3858,50,13,2,1,0,0,0,1,1,1,0
INJUSDT,ask,23,3194,30,8,1,0,0,0,0,0,0,0,0
INTCUSDT,bid,23,789090,115,21,4,3,2,2,0,3,0,0,0
