symbol,turnover_24h_usd_e9,excluded_reason,coverage_top50_bps,suitable_baskets,measured,window_start_utc_ms,window_secs,events,median_bid_depth_usd_e9,median_ask_depth_usd_e9,depth_check,order_size_e9,order_size_notional_usd_e9,selected_for_pilot,final_rank
SOLUSDT,750738389155000000,,49.11591355599214,0-1;1-2.5;2.5-5;5-10;10-25,true,1789219379231,3600,86092,92265930639915,87288297034443,ok,100000000,10180000000,true,1
ZECUSDT,515383468571600000,,4.338281866849453,0-1;1-2.5,true,1789219379231,3600,99899,520516248395,486520953434,below_floor,10000000,11525300000,true,2
XRPUSDT,386281379985600000,,36.56307129798903,0-1;1-2.5;2.5-5;5-10;10-25,true,1789219379231,3600,91981,45091520760000,45497453437838,ok,3700000000,5059750000,true,3
HYPEUSDT,273213699534900000,,62.39081607187423,0-1;1-2.5;2.5-5;5-10;10-25,true,1789219379231,3600,70514,41648267282689,36438592490635,ok,70000000,5609800000,true,4
NEARUSDT,137081528799300000,,212.13406873143825,0-1;1-2.5;2.5-5;5-10;10-25,true,1789219379231,3600,69133,30253590852676,20056190719166,ok,2200000000,5185400000,true,5
STORJUSDT,109971979904500000,,76.3708568810142,0-1;1-2.5;2.5-5;5-10;10-25,true,1789219379231,3600,146477,282431355374,265310054763,below_floor,76400000000,5001908000,true,6
DOGEUSDT,107290245746000000,,58.92057506481263,0-1;1-2.5;2.5-5;5-10;10-25,true,1789219379231,3600,53036,33098760819678,34744175590993,ok,59000000000,5006740000,true,7
ENAUSDT,90491857669200000,,35.34817956875221,0-1;1-2.5;2.5-5;5-10;10-25,true,1789219379231,3600,59766,3358354607061,2863349312522,ok,36000000000,5092200000,true,8
LSKUSDT,78466199260700000,,21.27025992257625,0-1;1-2.5;2.5-5;5-10,true,1789219379231,3600,175822,122718766498,142369336672,below_floor,21300000000,5006991000,true,9
SUIUSDT,69316824275000000,,68.97503103876396,0-1;1-2.5;2.5-5;5-10;10-25,true,1789219379231,3600,48165,7565864541953,6417593630307,ok,10000000000,7249000000,true,10
BTCUSDT,4080580234435700000,btc_eth_by_name,,,false,,,,,,,,,false,
ETHUSDT,3867845011825000000,btc_eth_by_name,,,false,,,,,,,,,false,
SOXLUSDT,119407195542900000,non_crypto_base,,,false,,,,,,,,,false,
AAPLUSDT,89721645606100000,non_crypto_base,,,false,,,,,,,,,false,
SNDKUSDT,74756307828300000,non_crypto_base,,,false,,,,,,,,,false,
NIULAIUSDT,71260587071900000,listed_under_30d,,,false,,,,,,,,,false,
1000PEPEUSDT,68634771051400000,rank_beyond_pool,,,false,,,,,,,,,false,
ADAUSDT,63557862569100000,rank_beyond_pool,,,false,,,,,,,,,false,
CLUSDT,56968166598300000,non_crypto_base,,,false,,,,,,,,,false,
PUMPFUNUSDT,54529225765300000,rank_beyond_pool,,,false,,,,,,,,,false,
SPCXUSDT,49518657400900000,rank_beyond_pool,,,false,,,,,,,,,false,
XAUUSDT,48299570381900000,non_crypto_base,,,false,,,,,,,,,false,
UNIUSDT,47343908035900000,rank_beyond_pool,,,false,,,,,,,,,false,
PONSUSDT,46662254540300000,listed_under_30d,,,false,,,,,,,,,false,
LABUSDT,44877172438300000,rank_beyond_pool,,,false,,,,,,,,,false,
USELESSUSDT,43910092524400000,rank_beyond_pool,,,false,,,,,,,,,false,
BNBUSDT,43677577961000000,rank_beyond_pool,,,false,,,,,,,,,false,
LINKUSDT,41591773654300000,rank_beyond_pool,,,false,,,,,,,,,false,
RAYDIUMUSDT,40772066296700000,rank_beyond_pool,,,false,,,,,,,,,false,
ARBUSDT,39093012666900000,rank_beyond_pool,,,false,,,,,,,,,false,
WLDUSDT,38294077315300000,rank_beyond_pool,,,false,,,,,,,,,false,
ETHFIUSDT,38246633136100000,rank_beyond_pool,,,false,,,,,,,,,false,
TAOUSDT,34805426538000000,rank_beyond_pool,,,false,,,,,,,,,false,
LITUSDT,34024224017500000,rank_beyond_pool,,,false,,,,,,,,,false,
UAIUSDT,33963500770300000,rank_beyond_pool,,,false,,,,,,,,,false,
VVVUSDT,30718754142400000,rank_beyond_pool,,,false,,,,,,,,,false,
FARTCOINUSDT,27932680204600000,rank_beyond_pool,,,false,,,,,,,,,false,
AVAXUSDT,27917315992600000,rank_beyond_pool,,,false,,,,,,,,,false,
BEATUSDT,26105100671500000,rank_beyond_pool,,,false,,,,,,,,,false,
ONDOUSDT,25621517714700000,rank_beyond_pool,,,false,,,,,,,,,false,
AAVEUSDT,25555237737500000,rank_beyond_pool,,,false,,,,,,,,,false,
CASHCATUSDT,23616862755600000,rank_beyond_pool,,,false,,,,,,,,,false,
TRUMPUSDT,22828550330700000,rank_beyond_pool,,,false,,,,,,,,,false,
MARSCOINUSDT,22756961497100000,listed_under_30d,,,false,,,,,,,,,false,
XMRUSDT,22133435033600000,rank_beyond_pool,,,false,,,,,,,,,false,
BZUSDT,21579788691900000,rank_beyond_pool,,,false,,,,,,,,,false,
DOTUSDT,21185000707900000,rank_beyond_pool,,,false,,,,,,,,,false,
METUSDT,20556027811800000,rank_beyond_pool,,,false,,,,,,,,,false,
MSTRUSDT,19238542207500000,rank_beyond_pool,,,false,,,,,,,,,false,
RIVERUSDT,19091822315100000,rank_beyond_pool,,,false,,,,,,,,,false,
XAUTUSDT,19048922978900000,rank_beyond_pool,,,false,,,,,,,,,false,
WLFIUSDT,18892842627700000,rank_beyond_pool,,,false,,,,,,,,,false,
LTCUSDT,17681632138000000,rank_beyond_pool,,,false,,,,,,,,,false,
SNXXUSDT,17458780326700000,rank_beyond_pool,,,false,,,,,,,,,false,
SKHYUSDT,17290763301700000,rank_beyond_pool,,,false,,,,,,,,,false,
SKHYNIXUSDT,16799714444800000,rank_beyond_pool,,,false,,,,,,,,,false,
APTUSDT,16133579347700000,rank_beyond_pool,,,false,,,,,,,,,false,
BCHUSDT,15957706557000000,rank_beyond_pool,,,false,,,,,,,,,false,
AKEUSDT,15792942911200000,rank_beyond_pool,,,false,,,,,,,,,false,
XPLUSDT,15726048459600000,rank_beyond_pool,,,false,,,,,,,,,false,
FLOCKUSDT,15648719018200000,rank_beyond_pool,,,false,,,,,,,,,false,
IOSTUSDT,15539106480700000,rank_beyond_pool,,,false,,,,,,,,,false,
KORUUSDT,15076510000800000,rank_beyond_pool,,,false,,,,,,,,,false,
INJUSDT,13943387054300000,rank_beyond_pool,,,false,,,,,,,,,false,
AEROUSDT,13355711585700000,rank_beyond_pool,,,false,,,,,,,,,false,
MUUSDT,13054637390400000,rank_beyond_pool,,,false,,,,,,,,,false,
XAGUSDT,12409760966700000,rank_beyond_pool,,,false,,,,,,,,,false,
DASHUSDT,11929386824800000,rank_beyond_pool,,,false,,,,,,,,,false,
JUPUSDT,11845431495700000,rank_beyond_pool,,,false,,,,,,,,,false,
PENGUUSDT,11820095147900000,rank_beyond_pool,,,false,,,,,,,,,false,
ASTERUSDT,11311520693600000,rank_beyond_pool,,,false,,,,,,,,,false,
MINAUSDT,10728944248400000,rank_beyond_pool,,,false,,,,,,,,,false,
OPUSDT,10485896573600000,rank_beyond_pool,,,false,,,,,,,,,false,
XLMUSDT,10445116070500000,rank_beyond_pool,,,false,,,,,,,,,false,
FFUSDT,10311658875300000,rank_beyond_pool,,,false,,,,,,,,,false,
NVDAUSDT,10162201563800000,rank_beyond_pool,,,false,,,,,,,,,false,
GOOGLUSDT,10152291709400000,rank_beyond_pool,,,false,,,,,,,,,false,
TSLAUSDT,9315128795600000,non_crypto_base,,,false,,,,,,,,,false,
BLURUSDT,8773556718100000,rank_beyond_pool,,,false,,,,,,,,,false,
TRXUSDT,8721122824100000,rank_beyond_pool,,,false,,,,,,,,,false,
WIFUSDT,8440019004600000,rank_beyond_pool,,,false,,,,,,,,,false,
MNTUSDT,8063410660000000,rank_beyond_pool,,,false,,,,,,,,,false,
BTWUSDT,7850539901000000,rank_beyond_pool,,,false,,,,,,,,,false,
ATOMUSDT,7848085916000000,rank_beyond_pool,,,false,,,,,,,,,false,
VIRTUALUSDT,7788017959000000,rank_beyond_pool,,,false,,,,,,,,,false,
SOPHUSDT,7634809071300000,rank_beyond_pool,,,false,,,,,,,,,false,
INTCUSDT,7627852701300000,rank_beyond_pool,,,false,,,,,,,,,false,
SHIB1000USDT,7345658067200000,rank_beyond_pool,,,false,,,,,,,,,false,
HBARUSDT,7276927368700000,rank_beyond_pool,,,false,,,,,,,,,false,
CRCLUSDT,7234666608700000,rank_beyond_pool,,,false,,,,,,,,,false,
TIAUSDT,6881318726500000,rank_beyond_pool,,,false,,,,,,,,,false,
1000BONKUSDT,6865046376400000,rank_beyond_pool,,,false,,,,,,,,,false,
