symbol,tick_size,min_order_qty,qty_step,min_notional_value,h3_lots,k,median_trade_lots,window_start_utc_ms,window_secs,depth_check
LSKUSDT,0.00001,0.1,0.1,5,57,1.0,57,1789333384709,3600,below_floor
SOLUSDT,0.01,0.1,0.1,5,6,1.0,6,1789333384709,3600,ok
ZECUSDT,0.01,0.01,0.01,5,2,1.0,2,1789333384709,3600,below_floor
HYPEUSDT,0.01,0.01,0.01,5,80,1.0,80,1789333384709,3600,ok
XRPUSDT,0.0001,0.1,0.1,5,56,1.0,56,1789333384709,3600,ok
FLOCKUSDT,0.00001,1,1,5,229,1.0,229,1789333384709,3600,below_floor
CVCUSDT,0.00001,1,1,5,356,1.0,356,1789333384709,3600,below_floor
NEARUSDT,0.001,0.1,0.1,5,67,1.0,67,1789333384709,3600,ok
DOGEUSDT,0.00001,1,1,5,72,1.0,72,1789333384709,3600,ok
STEEMUSDT,0.00001,1,1,5,242,1.0,242,1789333384709,3600,below_floor
PUMPFUNUSDT,0.000001,100,100,5,50,1.0,50,1789333384709,3600,ok
FILUSDT,0.0001,0.1,0.1,5,125,1.0,125,1789333384709,3600,below_floor
SUIUSDT,0.0001,10,10,5,5,1.0,5,1789333384709,3600,ok
1000PEPEUSDT,0.000001,100,100,5,80,1.0,80,1789333384709,3600,ok
LINKUSDT,0.001,0.1,0.1,5,12,1.0,12,1789333384709,3600,ok
ADAUSDT,0.0001,1,1,5,90,1.0,90,1789333384709,3600,ok
ENAUSDT,0.00001,1,1,5,55,1.0,55,1789333384709,3600,ok
ARKUSDT,0.00001,1,1,5,174,1.0,174,1789333384709,3600,below_floor
BTWUSDT,0.00001,10,10,5,3,1.0,3,1789333384709,3600,below_floor
UNIUSDT,0.001,0.1,0.1,5,25,1.0,25,1789333384709,3600,ok
