symbol,tick_size,min_order_qty,qty_step,min_notional_value,h3_lots,k,median_trade_lots,window_start_utc_ms,window_secs,depth_check
HYPEUSDT,0.01,0.01,0.01,5,40,1.0,40,1789478792480,3600,ok
LSKUSDT,0.00001,0.1,0.1,5,132,1.0,132,1789478792480,3600,below_floor
NEARUSDT,0.001,0.1,0.1,5,32,1.0,32,1789478792480,3600,ok
DOGEUSDT,0.00001,1,1,5,67,1.0,67,1789478792480,3600,ok
AKEUSDT,0.000001,100,100,5,10,1.0,10,1789478792480,3600,below_floor
ENAUSDT,0.00001,1,1,5,36,1.0,36,1789478792480,3600,ok
SUIUSDT,0.0001,10,10,5,1,1.0,1,1789478792480,3600,ok
ADAUSDT,0.0001,1,1,5,54,1.0,54,1789478792480,3600,ok
CAPUSDT,0.00001,10,10,5,46,1.0,46,1789478792480,3600,below_floor
POWERUSDT,0.00001,1,1,5,106,1.0,106,1789478792480,3600,below_floor
SPCXUSDT,0.01,0.01,0.01,5,39,1.0,39,1789478792480,3600,ok
BNBUSDT,0.1,0.01,0.01,5,1,1.0,1,1789478792480,3600,ok
UNIUSDT,0.001,0.1,0.1,5,12,1.0,12,1789478792480,3600,ok
1000PEPEUSDT,0.000001,100,100,5,43,1.0,43,1789478792480,3600,ok
BRUSDT,0.00001,1,1,5,34,1.0,34,1789478792480,3600,below_floor
KORUUSDT,0.01,0.01,0.01,5,40,1.0,40,1789478792480,3600,ok
PUMPFUNUSDT,0.000001,100,100,5,24,1.0,24,1789478792480,3600,ok
XLMUSDT,0.0001,1,1,5,339,1.0,339,1789478792480,3600,ok
SKHYNIXUSDT,0.01,0.001,0.001,5,75,1.0,75,1789478792480,3600,below_floor
LINKUSDT,0.001,0.1,0.1,5,5,1.0,5,1789478792480,3600,ok
BZUSDT,0.01,0.01,0.01,5,97,1.0,97,1789478792480,3600,below_floor
SKHYUSDT,0.01,0.01,0.01,5,60,1.0,60,1789478792480,3600,below_floor
ARBUSDT,0.00001,0.1,0.1,5,393,1.0,393,1789478792480,3600,ok
LITUSDT,0.001,0.1,0.1,5,122,1.0,122,1789478792480,3600,below_floor
TAOUSDT,0.01,0.001,0.001,5,23,1.0,23,1789478792480,3600,ok
XAUTUSDT,0.1,0.001,0.001,5,42,1.0,42,1789478792480,3600,ok
WLDUSDT,0.0001,0.1,0.1,5,148,1.0,148,1789478792480,3600,ok
AAVEUSDT,0.01,0.01,0.01,5,4,1.0,4,1789478792480,3600,ok
FILUSDT,0.0001,0.1,0.1,5,58,1.0,58,1789478792480,3600,below_floor
MUUSDT,0.01,0.01,0.01,5,14,1.0,14,1789478792480,3600,below_floor
ONDOUSDT,0.0001,1,1,5,22,1.0,22,1789478792480,3600,ok
BTWUSDT,0.00001,10,10,5,3,1.0,3,1789478792480,3600,below_floor
USELESSUSDT,0.00001,1,1,5,90,1.0,90,1789478792480,3600,below_floor
